z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,province,year,split
0.9311139,-0.61638415,-0.5369512,0.7216758,0.015447181,0.4244981,-0.16459033,0.052646715,-0.3033805,-1.2450191,06 Duarte,2022,test
0.9369631,-0.5755671,-0.3092818,0.49871975,0.16024785,-0.50126815,-0.6223583,0.49887127,-0.7789773,-1.2039002,06 Duarte,2023,test
-0.6425689,0.067991704,1.1830629,1.6016785,0.33662438,-0.13276707,-0.26043412,1.6937138,1.6417538,0.50679785,07 Elías Piña,2015,train
0.51830184,0.17172185,0.24618255,0.3222478,-1.1564981,0.11698219,0.19240604,1.3205132,2.3296463,0.5332229,07 Elías Piña,2016,train
0.7909428,-1.0928,0.8467895,1.7910362,-1.4799737,-0.5434944,-0.09938068,1.1408033,0.5917547,-0.1432251,07 Elías Piña,2017,train
-1.0289024,-0.9334884,-0.25588742,1.4053246,-1.0740056,-1.394497,-0.20875654,1.4925163,0.9062648,0.9601738,07 Elías Piña,2018,train
-0.5747155,-0.30738428,0.4237725,-0.43080434,-1.260715,-1.9540373,-0.57373965,1.7258457,0.8417593,-0.6773177,07 Elías Piña,2019,train
0.8361562,-0.64785075,0.013593921,1.648013,-1.334973,-0.3833676,-0.2730893,1.1715765,1.2007961,0.85681033,07 Elías Piña,2020,val
0.10795014,-0.786293,0.07495276,1.3540362,-1.0346643,-0.637065,-0.3374997,1.3661665,1.1472143,0.38810793,07 Elías Piña,2021,val
-0.11930582,-0.58059776,0.5874725,0.6404692,-1.5460467,-0.7391231,-0.26288468,0.48437253,0.9736471,-0.5560662,07 Elías Piña,2022,test
0.014200104,-0.45869485,1.0513469,0.5049764,-1.2352418,-1.4380454,-0.51719475,0.88383996,0.3776603,-0.7269697,07 Elías Piña,2023,test
0.04144181,0.3976603,0.9728362,0.16343148,1.6397343,1.2570539,0.2336953,1.6035446,0.06674894,1.5179601,08 El Seibo,2015,train
1.6445359,0.6912855,0.67142504,-1.5887444,-0.71824425,1.162494,0.4264243,0.0874866,0.0739447,0.94352543,08 El Seibo,2016,train
1.0735605,-1.8959395,0.8628241,1.5206615,-0.4745904,1.6700736,-1.3453563,0.7973737,-1.8443749,1.3835216,08 El Seibo,2017,train
-0.15555158,-0.93097925,-0.50145215,-0.401224,-0.17838404,-0.30784854,0.32144833,1.9444904,-0.9197489,1.7176011,08 El Seibo,2018,train
-0.538896,-0.66795063,1.3447137,-1.2107018,0.30045354,0.14524241,-1.8741148,0.7993162,-1.6249114,-0.54922974,08 El Seibo,2019,train
1.4774258,-0.38642496,0.5423894,-0.31348822,-0.26598984,0.45225146,0.75371253,1.9197673,-0.41043666,1.3960174,08 El Seibo,2020,val
0.27106503,-1.9512872,-0.26714402,0.27072713,-0.6931295,0.22360963,-1.1554412,1.5492728,-1.78714,1.3897831,08 El Seibo,2021,val
0.5429375,-0.42211097,0.30475894,-0.2457696,-0.26400012,0.18949866,0.50884277,1.0664493,-0.44259006,1.0954641,08 El Seibo,2022,test
0.9332969,-0.78610486,0.79840034,0.20835164,0.32270858,-0.07681762,-0.0324961,2.2184136,-1.0890924,0.92023605,08 El Seibo,2023,test
0.3676816,0.4668763,0.9215487,0.4072788,1.6729329,0.95315903,-0.2590253,0.30440128,-0.36216822,-0.29395616,09 Espaillat,2015,train
1.5830694,0.8461827,0.48247635,-0.19241841,0.50869125,1.2207277,0.7869995,-0.23685808,0.20105265,-0.10443182,09 Espaillat,2016,train
1.4504131,-0.4736804,0.36422747,0.69031304,0.3734827,0.81905544,0.12498508,0.098008834,-1.2711233,-0.6366346,09 Espaillat,2017,train
-0.23273648,-0.39851406,-0.9966674,-0.046763256,0.7062577,-0.04173706,-0.08169572,0.37200767,-0.970106,0.5238472,09 Espaillat,2018,train
-0.2261591,0.22819941,-0.41140816,-0.8058273,0.7510097,-0.4743928,-0.30040362,0.43478334,-0.28479588,-0.1460345,09 Espaillat,2019,train
1.720722,0.08814121,-0.24401592,0.5776827,0.7953844,1.1393089,0.44784513,0.907886,-0.25139117,0.6274141,09 Espaillat,2020,val
0.51101863,-0.31419075,-0.5755698,0.36695766,0.437783,0.31912154,-0.10757323,-0.22547142,-0.81855136,0.03720651,09 Espaillat,2021,val
0.9298189,-0.29104057,0.06679394,0.44887894,0.23084709,0.39131358,0.05073686,-0.19135685,-0.8649917,-0.31236434,09 Espaillat,2022,test
0.71813947,-0.34109214,0.35286283,0.27830896,0.35948086,-0.5779997,-0.3204493,0.39079213,-1.3018066,-0.51093996,09 Espaillat,2023,test
0.007272236,0.9649932,1.0070658,0.39102155,0.5774191,-1.0702344,-1.05545,1.2002606,0.87557065,1.444641,10 Independencia,2015,train
0.65953916,0.8844991,0.40405798,-0.5942671,-1.7190875,-1.2208787,-0.84621006,-0.2438943,1.0746014,1.123331,10 Independencia,2016,train
0.043982897,-0.7095741,1.0393178,0.9828266,-3.0249612,-1.4851186,-1.1301988,-1.0901157,-0.23498471,1.0610168,10 Independencia,2017,train
