province,year,week,solar_radiation,wind_speed,dew_point_temp
01 Distrito Nacional,2018,7,5.264971428571428,3.2357142857142853,19.184285714285714
01 Distrito Nacional,2018,8,5.786214285714286,3.325714285714286,19.041428571428572
01 Distrito Nacional,2018,9,6.092557142857143,2.0214285714285714,18.177142857142858
01 Distrito Nacional,2018,10,6.1451714285714285,2.1585714285714284,18.722857142857144
01 Distrito Nacional,2018,11,6.484971428571429,1.8599999999999999,20.302857142857142
01 Distrito Nacional,2018,12,5.798299999999999,2.1185714285714288,19.87
01 Distrito Nacional,2018,13,6.0320857142857145,2.8971428571428572,17.93857142857143
01 Distrito Nacional,2018,14,6.4960571428571425,1.7971428571428572,19.972857142857144
01 Distrito Nacional,2018,15,6.2738571428571435,2.402857142857143,20.207142857142856
01 Distrito Nacional,2018,16,6.2461,2.2485714285714287,20.580000000000002
01 Distrito Nacional,2018,17,6.482485714285715,2.124285714285714,20.702857142857145
01 Distrito Nacional,2018,18,6.138171428571428,2.3542857142857145,21.381428571428568
01 Distrito Nacional,2018,19,5.9014,2.4214285714285713,21.07
01 Distrito Nacional,2018,20,6.038971428571429,2.807142857142857,21.427142857142858
01 Distrito Nacional,2018,21,6.487514285714285,2.4185714285714286,21.337142857142858
01 Distrito Nacional,2018,22,6.4835714285714285,2.257142857142857,21.775714285714287
01 Distrito Nacional,2018,23,6.713185714285714,2.1457142857142855,21.745714285714286
01 Distrito Nacional,2018,24,6.686,2.158571428571429,22.094285714285714
01 Distrito Nacional,2018,25,4.6615142857142855,1.817142857142857,22.564285714285713
01 Distrito Nacional,2018,26,5.875842857142857,2.3242857142857143,22.157142857142855
01 Distrito Nacional,2018,27,6.438985714285715,2.6028571428571428,21.948571428571427
01 Distrito Nacional,2018,28,5.562342857142857,2.382857142857143,22.755714285714284
01 Distrito Nacional,2018,29,5.9105,2.217142857142857,22.88714285714286
01 Distrito Nacional,2018,30,5.932242857142858,2.0571428571428574,22.16857142857143
01 Distrito Nacional,2018,31,6.410885714285714,2.5100000000000002,22.25857142857143
01 Distrito Nacional,2018,32,5.837142857142857,2.067142857142857,22.31142857142857
01 Distrito Nacional,2018,33,6.059342857142857,2.3314285714285714,22.62857142857143
01 Distrito Nacional,2018,34,6.335585714285714,2.2714285714285714,22.287142857142857
01 Distrito Nacional,2018,35,4.6815,2.3771428571428572,22.708571428571428
01 Distrito Nacional,2018,36,5.853028571428571,1.6842857142857142,22.487142857142857
01 Distrito Nacional,2018,37,5.4423142857142865,2.3185714285714285,23.06142857142857
01 Distrito Nacional,2018,38,5.2170000000000005,1.9985714285714287,23.25714285714286
01 Distrito Nacional,2018,39,5.311457142857143,2.3642857142857143,23.185714285714287
01 Distrito Nacional,2018,40,3.8049714285714282,1.3385714285714287,21.919999999999998
01 Distrito Nacional,2018,41,3.7449714285714286,1.7571428571428573,22.554285714285715
01 Distrito Nacional,2018,42,5.402571428571428,2.587142857142857,22.592857142857145
01 Distrito Nacional,2018,43,5.739571428571429,1.875714285714286,22.055714285714284
01 Distrito Nacional,2018,44,5.144442857142857,2.0557142857142856,21.61428571428571
01 Distrito Nacional,2018,45,5.1776285714285715,2.2600000000000002,22.397142857142857
01 Distrito Nacional,2018,46,4.662328571428572,2.2471428571428573,22.891428571428573
01 Distrito Nacional,2018,47,5.045142857142857,1.7914285714285716,21.24285714285714
01 Distrito Nacional,2018,48,5.0485428571428566,1.8085714285714285,20.807142857142857
01 Distrito Nacional,2018,49,4.740371428571429,2.2685714285714282,20.76571428571429
01 Distrito Nacional,2018,50,4.442557142857143,2.1128571428571425,20.312857142857144
01 Distrito Nacional,2018,51,4.602385714285715,1.8214285714285714,19.958571428571428
01 Distrito Nacional,2018,52,4.648271428571428,3.051428571428571,20.08857142857143
01 Distrito Nacional,2019,1,4.308,2.425,20.235
01 Distrito Nacional,2019,2,4.822114285714286,1.8785714285714286,19.388571428571428
01 Distrito Nacional,2019,3,4.9250428571428575,1.804285714285714,19.118571428571432
01 Distrito Nacional,2019,4,4.789271428571429,2.4699999999999998,19.447142857142858
01 Distrito Nacional,2019,5,4.930585714285714,2.144285714285714,19.447142857142858
01 Distrito Nacional,2019,6,5.2924999999999995,2.337142857142857,19.265714285714285
01 Distrito Nacional,2019,7,5.317557142857142,2.2528571428571427,20.09714285714286
01 Distrito Nacional,2019,8,5.707742857142857,2.8714285714285714,19.041428571428572
01 Distrito Nacional,2019,9,5.771728571428571,2.6799999999999997,19.05
01 Distrito Nacional,2019,10,5.653442857142857,2.2857142857142856,19.351428571428574
01 Distrito Nacional,2019,11,6.425071428571428,2.4714285714285715,18.645714285714284
01 Distrito Nacional,2019,12,6.317128571428571,1.8771428571428572,19.00857142857143
01 Distrito Nacional,2019,13,5.512414285714286,1.727142857142857,20.72142857142857
01 Distrito Nacional,2019,14,6.264542857142857,2.5685714285714285,20.23428571428571
01 Distrito Nacional,2019,15,6.570185714285714,2.3742857142857146,20.16142857142857
01 Distrito Nacional,2019,16,6.884857142857143,2.4785714285714286,19.56857142857143
01 Distrito Nacional,2019,17,6.489085714285714,2.0028571428571427,20.560000000000002
01 Distrito Nacional,2019,18,6.027771428571429,2.642857142857143,21.05
01 Distrito Nacional,2019,19,5.992442857142857,2.075714285714286,21.072857142857142
01 Distrito Nacional,2019,20,6.653585714285714,1.8114285714285714,21.717142857142857
01 Distrito Nacional,2019,21,5.435585714285715,1.7742857142857142,22.255714285714284
01 Distrito Nacional,2019,22,5.398542857142857,1.95,22.071428571428573
01 Distrito Nacional,2019,23,6.242128571428571,1.7342857142857144,22.222857142857144
01 Distrito Nacional,2019,24,6.765828571428571,2.335714285714286,21.98857142857143
01 Distrito Nacional,2019,25,6.665457142857143,2.187142857142857,22.90285714285714
01 Distrito Nacional,2019,26,6.3973,2.1842857142857146,22.490000000000002
01 Distrito Nacional,2019,27,6.5628,2.1,22.177142857142858
01 Distrito Nacional,2019,28,6.163457142857142,2.315714285714286,22.32
01 Distrito Nacional,2019,29,6.581171428571429,2.3942857142857146,22.335714285714285
01 Distrito Nacional,2019,30,6.807771428571429,2.244285714285714,22.59857142857143
01 Distrito Nacional,2019,31,5.741942857142858,2.2585714285714285,23.354285714285712
01 Distrito Nacional,2019,32,6.475499999999999,2.005714285714286,23.302857142857142
01 Distrito Nacional,2019,33,6.137928571428572,2.184285714285714,22.877142857142854
01 Distrito Nacional,2019,34,6.052757142857142,1.9914285714285713,23.267142857142858
01 Distrito Nacional,2019,35,6.539128571428571,1.6328571428571428,22.947142857142858
01 Distrito Nacional,2019,36,5.881042857142857,1.9542857142857142,22.91714285714286
01 Distrito Nacional,2019,37,6.383214285714286,1.7128571428571429,23.302857142857142
01 Distrito Nacional,2019,38,4.434814285714285,1.7985714285714285,23.978571428571428
01 Distrito Nacional,2019,39,5.354857142857143,1.3385714285714285,23.637142857142855
01 Distrito Nacional,2019,40,4.892071428571429,1.282857142857143,23.34857142857143
01 Distrito Nacional,2019,41,5.908257142857143,1.8357142857142856,22.83142857142857
01 Distrito Nacional,2019,42,5.854771428571429,1.5999999999999999,22.404285714285713
01 Distrito Nacional,2019,43,4.351485714285714,2.092857142857143,23.13714285714286
01 Distrito Nacional,2019,44,5.0582714285714285,2.2600000000000002,22.014285714285712
01 Distrito Nacional,2019,45,5.086542857142858,2.025714285714286,22.27285714285714
01 Distrito Nacional,2019,46,5.212000000000001,1.6157142857142859,22.042857142857144
01 Distrito Nacional,2019,47,4.873285714285714,1.8599999999999999,20.428571428571427
01 Distrito Nacional,2019,48,4.914242857142858,2.245714285714286,20.40285714285714
01 Distrito Nacional,2019,49,4.578714285714286,1.5214285714285716,22.28
01 Distrito Nacional,2019,50,4.132357142857143,2.577142857142857,21.895714285714284
01 Distrito Nacional,2019,51,4.376828571428571,2.5742857142857143,21.79
01 Distrito Nacional,2019,52,4.280257142857143,2.152857142857143,21.552857142857142
01 Distrito Nacional,2020,1,4.8552800000000005,2.412,20.748
01 Distrito Nacional,2020,2,4.6017,3.1357142857142857,20.542857142857144
01 Distrito Nacional,2020,3,4.5186142857142855,3.2657142857142856,20.03
01 Distrito Nacional,2020,4,4.198028571428572,1.7342857142857144,20.142857142857142
01 Distrito Nacional,2020,5,5.335642857142857,1.5471428571428572,20.135714285714283
01 Distrito Nacional,2020,6,5.270485714285714,2.474285714285714,20.478571428571428
01 Distrito Nacional,2020,7,5.552357142857143,2.8114285714285714,20.095714285714287
01 Distrito Nacional,2020,8,5.1745,2.468571428571429,20.38
01 Distrito Nacional,2020,9,5.771685714285715,2.277142857142857,20.368571428571432
01 Distrito Nacional,2020,10,5.551485714285714,2.4957142857142856,20.490000000000002
01 Distrito Nacional,2020,11,5.363671428571428,2.6685714285714286,19.857142857142858
01 Distrito Nacional,2020,12,6.165471428571428,3.2485714285714287,18.714285714285715
01 Distrito Nacional,2020,13,6.320157142857143,2.6042857142857145,19.75857142857143
01 Distrito Nacional,2020,14,7.039042857142857,1.9014285714285712,19.344285714285714
01 Distrito Nacional,2020,15,6.3497,2.007142857142857,21.39428571428571
01 Distrito Nacional,2020,16,6.7875571428571435,2.3528571428571428,20.881428571428575
01 Distrito Nacional,2020,17,6.900657142857143,2.317142857142857,20.81
01 Distrito Nacional,2020,18,6.821028571428571,2.202857142857143,20.604285714285712
01 Distrito Nacional,2020,19,6.325414285714286,2.315714285714286,21.787142857142857
01 Distrito Nacional,2020,20,6.580371428571429,2.3685714285714283,21.465714285714284
01 Distrito Nacional,2020,21,6.1652,2.007142857142857,22.32
01 Distrito Nacional,2020,22,6.092114285714286,1.8728571428571428,22.244285714285716
01 Distrito Nacional,2020,23,6.796,2.3728571428571428,22.111428571428572
01 Distrito Nacional,2020,24,6.825414285714286,1.8657142857142859,21.814285714285713
01 Distrito Nacional,2020,25,6.926428571428572,2.3714285714285714,22.49857142857143
01 Distrito Nacional,2020,26,5.640928571428572,2.34,23.072857142857142
01 Distrito Nacional,2020,27,6.152771428571429,1.917142857142857,23.03142857142857
01 Distrito Nacional,2020,28,6.2583714285714285,2.2285714285714286,23.24285714285714
01 Distrito Nacional,2020,29,6.366957142857143,2.144285714285714,23.01142857142857
01 Distrito Nacional,2020,30,6.135242857142857,2.3514285714285714,23.259999999999998
01 Distrito Nacional,2020,31,5.537642857142857,3.064285714285714,23.81142857142857
01 Distrito Nacional,2020,32,6.860014285714286,2.1485714285714286,23.565714285714286
01 Distrito Nacional,2020,33,6.036657142857143,2.357142857142857,23.352857142857143
01 Distrito Nacional,2020,34,5.350585714285714,2.4214285714285713,23.875714285714285
01 Distrito Nacional,2020,35,6.655557142857143,2.1014285714285714,23.745714285714286
01 Distrito Nacional,2020,36,5.077742857142857,2.18,24.157142857142855
01 Distrito Nacional,2020,37,5.969285714285713,1.6457142857142857,23.217142857142857
01 Distrito Nacional,2020,38,6.279671428571429,1.6185714285714285,23.167142857142856
01 Distrito Nacional,2020,39,6.222528571428571,1.5899999999999999,22.58857142857143
01 Distrito Nacional,2020,40,4.2199857142857145,2.34,23.189999999999998
01 Distrito Nacional,2020,41,5.589728571428572,2.0014285714285713,23.145714285714288
01 Distrito Nacional,2020,42,5.4472000000000005,1.707142857142857,23.639999999999997
01 Distrito Nacional,2020,43,5.388414285714285,1.76,22.62142857142857
01 Distrito Nacional,2020,44,4.375128571428571,2.5014285714285713,23.28857142857143
01 Distrito Nacional,2020,45,3.7540714285714287,1.8742857142857143,22.882857142857144
01 Distrito Nacional,2020,46,3.795214285714286,2.2271428571428573,23.01571428571429
01 Distrito Nacional,2020,47,4.0322571428571425,1.9642857142857142,22.937142857142856
01 Distrito Nacional,2020,48,4.699571428571429,2.325714285714286,22.037142857142857
01 Distrito Nacional,2020,49,4.579057142857144,2.0828571428571427,21.405714285714286
01 Distrito Nacional,2020,50,4.2362714285714285,1.672857142857143,21.860000000000003
01 Distrito Nacional,2020,51,4.517171428571428,2.237142857142857,21.914285714285715
01 Distrito Nacional,2020,52,4.671281818181819,2.403636363636364,21.444545454545455
01 Distrito Nacional,2021,1,4.2713,1.8714285714285714,20.415714285714284
01 Distrito Nacional,2021,2,4.7459428571428575,1.977142857142857,21.07857142857143
01 Distrito Nacional,2021,3,4.733899999999999,2.16,21.035714285714285
01 Distrito Nacional,2021,4,4.848128571428572,2.6257142857142854,19.69
01 Distrito Nacional,2021,5,5.4920285714285715,2.1,21.0
01 Distrito Nacional,2021,6,5.597471428571429,2.644285714285714,20.60571428571429
01 Distrito Nacional,2021,7,5.7017999999999995,2.474285714285714,20.322857142857142
01 Distrito Nacional,2021,8,6.139285714285714,3.0357142857142856,19.47714285714286
01 Distrito Nacional,2021,9,6.2545,2.05,19.270000000000003
01 Distrito Nacional,2021,10,5.695957142857144,2.4828571428571427,20.111428571428572
01 Distrito Nacional,2021,11,6.393485714285714,2.584285714285714,18.747142857142858
01 Distrito Nacional,2021,12,6.287042857142857,2.5357142857142856,20.018571428571427
01 Distrito Nacional,2021,13,6.713528571428571,2.4657142857142853,19.972857142857144
01 Distrito Nacional,2021,14,5.171914285714286,2.5500000000000003,19.782857142857143
01 Distrito Nacional,2021,15,6.931057142857143,1.9057142857142857,19.337142857142858
01 Distrito Nacional,2021,16,6.761428571428572,2.144285714285714,20.764285714285712
01 Distrito Nacional,2021,17,6.5762285714285715,2.3685714285714283,20.397142857142857
01 Distrito Nacional,2021,18,6.950642857142857,2.3528571428571428,20.48
01 Distrito Nacional,2021,19,6.193128571428572,2.152857142857143,21.545714285714286
01 Distrito Nacional,2021,20,6.0753571428571425,2.185714285714286,21.54
01 Distrito Nacional,2021,21,6.517785714285714,2.355714285714286,21.75
01 Distrito Nacional,2021,22,5.883985714285714,2.511428571428571,22.06
01 Distrito Nacional,2021,23,5.679957142857143,1.9485714285714286,22.534285714285716
01 Distrito Nacional,2021,24,6.452985714285714,2.2714285714285714,23.334285714285716
01 Distrito Nacional,2021,25,5.638128571428571,2.1871428571428573,22.90285714285714
01 Distrito Nacional,2021,26,6.021271428571429,2.5342857142857143,23.40285714285714
01 Distrito Nacional,2021,27,6.5222,2.542857142857143,22.965714285714284
01 Distrito Nacional,2021,28,5.470357142857142,2.3885714285714283,23.237142857142857
01 Distrito Nacional,2021,29,6.367171428571429,2.08,23.465714285714284
01 Distrito Nacional,2021,30,6.125414285714285,2.2,23.434285714285714
01 Distrito Nacional,2021,31,6.348985714285715,2.072857142857143,23.17142857142857
01 Distrito Nacional,2021,32,4.675785714285714,2.402857142857143,23.882857142857144
01 Distrito Nacional,2021,33,5.303985714285714,2.432857142857143,24.27857142857143
01 Distrito Nacional,2021,34,6.482657142857143,2.1514285714285717,23.69142857142857
01 Distrito Nacional,2021,35,6.355200000000001,1.5,23.265714285714285
