z1,z2,z3,z4,z5,z6,z7,province,year,split
1.1183909,1.6720806,1.805327,-0.84517235,0.71857494,0.13308659,1.2117274,08 El Seibo,2020,val
1.4090778,2.3540702,1.0337212,-1.7780188,0.8919311,-1.3114527,3.533331,08 El Seibo,2021,val
0.65608954,1.3172984,0.76314396,-0.7850541,0.57516843,-0.2545426,0.74820966,08 El Seibo,2022,test
0.32038403,1.3247224,0.41804394,-0.71100813,0.6221598,-0.1406159,0.58934647,08 El Seibo,2023,test
-0.07459695,-0.98041373,0.28349948,-0.32119533,0.21773624,0.24554685,-0.30238023,09 Espaillat,2015,train
0.5768105,-0.29411674,1.2519748,-0.31799573,-0.2533095,0.4167686,-0.17659017,09 Espaillat,2016,train
-0.08760402,0.3547475,0.8729055,-0.8694348,-0.66139525,-0.12549551,-0.08298215,09 Espaillat,2017,train
0.5898311,-0.6300236,0.5318749,-0.7563728,0.124222465,-1.2042367,0.41549107,09 Espaillat,2018,train
0.45088002,-0.17620286,0.19701287,-0.03467105,-0.13837369,-0.24140692,-0.12840585,09 Espaillat,2019,train
0.8818645,0.14323811,1.4637046,-0.9130976,-0.61162305,-0.19444747,0.74888587,09 Espaillat,2020,val
0.3365863,-0.052433703,0.6084373,-0.5615932,-0.24687123,-0.5061602,0.1779594,09 Espaillat,2021,val
0.3510549,0.030833887,0.6565184,-0.41779745,-0.31309497,-0.2678702,0.10384517,09 Espaillat,2022,test
-0.066282965,0.14887524,0.3276174,-0.11995478,-0.1481432,0.03831527,0.06724733,09 Espaillat,2023,test
-0.5066945,-0.02464607,-0.10496639,1.1742342,1.6191417,0.35231158,0.6256606,10 Independencia,2015,train
1.482481,1.1136711,1.6562024,1.1997905,0.83358264,1.0603535,0.9059564,10 Independencia,2016,train
0.2594179,2.8152916,0.44539088,0.5792376,1.3060728,0.78750795,2.6367521,10 Independencia,2017,train
-0.010668323,0.78151745,-0.5816091,0.4243499,1.8568809,-1.5356361,3.7118266,10 Independencia,2018,train
0.016295625,0.91880083,-0.3406875,0.78930396,0.69901365,0.15369678,0.20942995,10 Independencia,2019,train
0.31172028,1.2248154,0.7647234,0.9680153,0.955532,0.8645768,1.4704353,10 Independencia,2020,val
0.014299184,1.1015705,0.08545837,0.43618497,0.98430765,0.16338243,1.5163846,10 Independencia,2021,val
0.3321398,1.7059046,0.2049142,0.7396074,0.8455151,0.46207166,1.841084,10 Independencia,2022,test
-0.02229028,1.3303906,-0.22223999,0.645029,1.0788699,0.5168674,0.6540067,10 Independencia,2023,test
