year,week,nino34_anom,oni_index,soi_index
2016,17,0.74,0.0,-2.0
2016,17,0.74,0.0,-1.2
2016,18,0.74,0.0,-2.0
2016,18,0.74,0.0,-1.2
2016,19,0.53,0.0,0.7
2016,19,0.53,0.0,0.4
2016,20,0.53,0.0,0.7
2016,20,0.53,0.0,0.4
2016,21,0.53,0.0,0.7
2016,21,0.53,0.0,0.4
2016,22,0.53,0.0,0.7
2016,22,0.53,0.0,0.4
2016,23,0.39,0.0,1.1
2016,23,0.39,0.0,0.6
2016,24,0.39,0.0,1.1
2016,24,0.39,0.0,0.6
2016,25,0.39,0.0,1.1
2016,25,0.39,0.0,0.6
2016,26,0.39,0.0,1.1
2016,26,0.39,0.0,0.6
2016,27,0.15,0.0,0.7
2016,27,0.15,0.0,0.4
2016,28,0.15,0.0,0.7
2016,28,0.15,0.0,0.4
2016,29,0.15,0.0,0.7
2016,29,0.15,0.0,0.4
2016,30,0.15,0.0,0.7
2016,30,0.15,0.0,0.4
2016,31,0.15,0.0,0.7
2016,31,0.15,0.0,0.4
2016,32,-0.06,0.0,1.2
2016,32,-0.06,0.0,0.7
2016,33,-0.06,0.0,1.2
2016,33,-0.06,0.0,0.7
2016,34,-0.06,0.0,1.2
2016,34,-0.06,0.0,0.7
2016,35,-0.06,0.0,1.2
2016,35,-0.06,0.0,0.7
2016,36,-0.25,0.0,2.0
2016,36,-0.25,0.0,1.2
2016,37,-0.25,0.0,2.0
2016,37,-0.25,0.0,1.2
2016,38,-0.25,0.0,2.0
2016,38,-0.25,0.0,1.2
2016,39,-0.25,0.0,2.0
2016,39,-0.25,0.0,1.2
2016,40,-0.44,0.0,-0.4
2016,40,-0.44,0.0,-0.3
2016,41,-0.44,0.0,-0.4
2016,41,-0.44,0.0,-0.3
2016,42,-0.44,0.0,-0.4
2016,42,-0.44,0.0,-0.3
2016,43,-0.44,0.0,-0.4
2016,43,-0.44,0.0,-0.3
2016,44,-0.44,0.0,-0.4
2016,44,-0.44,0.0,-0.3
2016,45,-0.46,0.0,-0.2
2016,45,-0.46,0.0,-0.1
2016,46,-0.46,0.0,-0.2
2016,46,-0.46,0.0,-0.1
2016,47,-0.46,0.0,-0.2
2016,47,-0.46,0.0,-0.1
2016,48,-0.46,0.0,-0.2
2016,48,-0.46,0.0,-0.1
2016,49,-0.19,0.0,0.5
2016,49,-0.19,0.0,0.3
2016,50,-0.19,0.0,0.5
2016,50,-0.19,0.0,0.3
2016,51,-0.19,0.0,0.5
2016,51,-0.19,0.0,0.3
2016,52,-0.19,0.0,0.5
2016,52,-0.19,0.0,0.3
2017,1,-0.16,0.0,0.3
2017,1,-0.16,0.0,0.2
2017,2,-0.16,0.0,0.3
2017,2,-0.16,0.0,0.2
2017,3,-0.16,0.0,0.3
2017,3,-0.16,0.0,0.2
2017,4,-0.16,0.0,0.3
2017,4,-0.16,0.0,0.2
2017,5,-0.16,0.0,0.3
2017,5,-0.16,0.0,0.2
2017,6,-0.09,0.0,-0.1
2017,6,-0.09,0.0,-0.1
2017,7,-0.09,0.0,-0.1
2017,7,-0.09,0.0,-0.1
2017,8,-0.09,0.0,-0.1
2017,8,-0.09,0.0,-0.1
2017,9,-0.09,0.0,-0.1
2017,9,-0.09,0.0,-0.1
2017,10,-0.03,0.0,1.5
2017,10,-0.03,0.0,0.9
2017,11,-0.03,0.0,1.5
2017,11,-0.03,0.0,0.9
2017,12,-0.03,0.0,1.5
2017,12,-0.03,0.0,0.9
2017,13,-0.03,0.0,1.5
2017,13,-0.03,0.0,0.9
2017,14,0.06,0.0,-0.3
2017,14,0.06,0.0,-0.2
2017,15,0.06,0.0,-0.3
2017,15,0.06,0.0,-0.2
2017,16,0.06,0.0,-0.3
2017,16,0.06,0.0,-0.2
2017,17,0.06,0.0,-0.3
2017,17,0.06,0.0,-0.2
2017,18,0.06,0.0,-0.3
2017,18,0.06,0.0,-0.2
2017,19,0.19,0.0,0.4
2017,19,0.19,0.0,0.3
2017,20,0.19,0.0,0.4
2017,20,0.19,0.0,0.3
2017,21,0.19,0.0,0.4
2017,21,0.19,0.0,0.3
2017,22,0.19,0.0,0.4
2017,22,0.19,0.0,0.3
2017,23,0.32,0.0,-0.7
2017,23,0.32,0.0,-0.4
2017,24,0.32,0.0,-0.7
2017,24,0.32,0.0,-0.4
2017,25,0.32,0.0,-0.7
2017,25,0.32,0.0,-0.4
2017,26,0.32,0.0,-0.7
2017,26,0.32,0.0,-0.4
2017,27,0.26,0.0,1.3
2017,27,0.26,0.0,0.8
2017,28,0.26,0.0,1.3
2017,28,0.26,0.0,0.8
2017,29,0.26,0.0,1.3
2017,29,0.26,0.0,0.8
2017,30,0.26,0.0,1.3
2017,30,0.26,0.0,0.8
2017,31,0.26,0.0,1.3
2017,31,0.26,0.0,0.8
2017,32,0.08,0.0,0.9
2017,32,0.08,0.0,0.5
2017,33,0.08,0.0,0.9
2017,33,0.08,0.0,0.5
2017,34,0.08,0.0,0.9
2017,34,0.08,0.0,0.5
2017,35,0.08,0.0,0.9
2017,35,0.08,0.0,0.5
2017,36,-0.04,0.0,1.0
2017,36,-0.04,0.0,0.6
2017,37,-0.04,0.0,1.0
2017,37,-0.04,0.0,0.6
2017,38,-0.04,0.0,1.0
2017,38,-0.04,0.0,0.6
2017,39,-0.04,0.0,1.0
2017,39,-0.04,0.0,0.6
2017,40,-0.2,0.0,1.5
2017,40,-0.2,0.0,0.9
2017,41,-0.2,0.0,1.5
2017,41,-0.2,0.0,0.9
2017,42,-0.2,0.0,1.5
2017,42,-0.2,0.0,0.9
2017,43,-0.2,0.0,1.5
2017,43,-0.2,0.0,0.9
2017,44,-0.2,0.0,1.5
2017,44,-0.2,0.0,0.9
2017,45,-0.4,0.0,1.5
2017,45,-0.4,0.0,0.9
2017,46,-0.4,0.0,1.5
2017,46,-0.4,0.0,0.9
2017,47,-0.4,0.0,1.5
2017,47,-0.4,0.0,0.9
2017,48,-0.4,0.0,1.5
2017,48,-0.4,0.0,0.9
2017,49,-0.52,0.0,-0.2
2017,49,-0.52,0.0,-0.1
2017,50,-0.52,0.0,-0.2
2017,50,-0.52,0.0,-0.1
2017,51,-0.52,0.0,-0.2
2017,51,-0.52,0.0,-0.1
2017,52,-0.52,0.0,-0.2
2017,52,-0.52,0.0,-0.1
2018,1,-0.44,0.0,1.8
2018,1,-0.44,0.0,1.1
2018,2,-0.44,0.0,1.8
2018,2,-0.44,0.0,1.1
2018,3,-0.44,0.0,1.8
2018,3,-0.44,0.0,1.1
2018,4,-0.44,0.0,1.8
2018,4,-0.44,0.0,1.1
2018,5,-0.44,0.0,1.8
2018,5,-0.44,0.0,1.1
2018,6,-0.35,0.0,-0.8
2018,6,-0.35,0.0,-0.5
2018,7,-0.35,0.0,-0.8
2018,7,-0.35,0.0,-0.5
2018,8,-0.35,0.0,-0.8
2018,8,-0.35,0.0,-0.5
2018,9,-0.35,0.0,-0.8
2018,9,-0.35,0.0,-0.5
2018,10,-0.22,0.0,2.4
2018,10,-0.22,0.0,1.5
2018,11,-0.22,0.0,2.4
2018,11,-0.22,0.0,1.5
2018,12,-0.22,0.0,2.4
2018,12,-0.22,0.0,1.5
2018,13,-0.22,0.0,2.4
2018,13,-0.22,0.0,1.5
2018,14,0.02,0.0,0.8
2018,14,0.02,0.0,0.5
2018,15,0.02,0.0,0.8
2018,15,0.02,0.0,0.5
2018,16,0.02,0.0,0.8
2018,16,0.02,0.0,0.5
2018,17,0.02,0.0,0.8
2018,17,0.02,0.0,0.5
2018,18,0.02,0.0,0.8
2018,18,0.02,0.0,0.5
2018,19,0.16,0.0,0.6
2018,19,0.16,0.0,0.4
2018,20,0.16,0.0,0.6
2018,20,0.16,0.0,0.4
