year,week,tna_sst_anom,caribbean_sst_anom
2019,23,0.3,0.0
2019,24,0.3,0.0
2019,25,0.3,0.0
2019,26,0.3,0.0
2019,27,0.37,0.0
2019,28,0.37,0.0
2019,29,0.37,0.0
2019,30,0.37,0.0
2019,31,0.37,0.0
2019,32,0.42,0.0
2019,33,0.42,0.0
2019,34,0.42,0.0
2019,35,0.42,0.0
2019,36,0.57,0.0
2019,37,0.57,0.0
2019,38,0.57,0.0
2019,39,0.57,0.0
2019,40,0.44,0.0
2019,41,0.44,0.0
2019,42,0.44,0.0
2019,43,0.44,0.0
2019,44,0.44,0.0
2019,45,0.26,0.0
2019,46,0.26,0.0
2019,47,0.26,0.0
2019,48,0.26,0.0
2019,49,0.25,0.0
2019,50,0.25,0.0
2019,51,0.25,0.0
2019,52,0.25,0.0
2020,1,0.25,0.0
2020,2,0.25,0.0
2020,3,0.25,0.0
2020,4,0.25,0.0
2020,5,0.25,0.0
2020,6,0.5,0.0
2020,7,0.5,0.0
2020,8,0.5,0.0
2020,9,0.5,0.0
2020,10,0.73,0.0
2020,11,0.73,0.0
2020,12,0.73,0.0
2020,13,0.73,0.0
2020,14,0.62,0.0
2020,15,0.62,0.0
2020,16,0.62,0.0
2020,17,0.62,0.0
2020,18,0.62,0.0
2020,19,0.52,0.0
2020,20,0.52,0.0
2020,21,0.52,0.0
2020,22,0.52,0.0
2020,23,0.72,0.0
2020,24,0.72,0.0
2020,25,0.72,0.0
2020,26,0.72,0.0
2020,27,0.65,0.0
2020,28,0.65,0.0
2020,29,0.65,0.0
2020,30,0.65,0.0
2020,31,0.65,0.0
2020,32,0.59,0.0
2020,33,0.59,0.0
2020,34,0.59,0.0
2020,35,0.59,0.0
2020,36,0.52,0.0
2020,37,0.52,0.0
2020,38,0.52,0.0
2020,39,0.52,0.0
2020,40,0.61,0.0
2020,41,0.61,0.0
2020,42,0.61,0.0
2020,43,0.61,0.0
2020,44,0.61,0.0
2020,45,0.39,0.0
2020,46,0.39,0.0
2020,47,0.39,0.0
2020,48,0.39,0.0
2020,49,0.46,0.0
2020,50,0.46,0.0
2020,51,0.46,0.0
2020,52,0.46,0.0
2021,1,0.52,0.0
2021,2,0.52,0.0
2021,3,0.52,0.0
2021,4,0.52,0.0
2021,5,0.52,0.0
2021,6,0.41,0.0
2021,7,0.41,0.0
2021,8,0.41,0.0
2021,9,0.41,0.0
2021,10,0.14,0.0
2021,11,0.14,0.0
2021,12,0.14,0.0
2021,13,0.14,0.0
2021,14,0.32,0.0
2021,15,0.32,0.0
2021,16,0.32,0.0
2021,17,0.32,0.0
2021,18,0.32,0.0
2021,19,0.24,0.0
2021,20,0.24,0.0
2021,21,0.24,0.0
2021,22,0.24,0.0
2021,23,0.14,0.0
2021,24,0.14,0.0
2021,25,0.14,0.0
2021,26,0.14,0.0
2021,27,0.25,0.0
2021,28,0.25,0.0
2021,29,0.25,0.0
2021,30,0.25,0.0
2021,31,0.25,0.0
2021,32,0.26,0.0
2021,33,0.26,0.0
2021,34,0.26,0.0
2021,35,0.26,0.0
2021,36,0.54,0.0
2021,37,0.54,0.0
2021,38,0.54,0.0
2021,39,0.54,0.0
2021,40,0.46,0.0
2021,41,0.46,0.0
2021,42,0.46,0.0
2021,43,0.46,0.0
2021,44,0.46,0.0
2021,45,0.42,0.0
2021,46,0.42,0.0
2021,47,0.42,0.0
2021,48,0.42,0.0
2021,49,0.46,0.0
2021,50,0.46,0.0
2021,51,0.46,0.0
2021,52,0.46,0.0
2022,1,0.61,0.0
2022,2,0.61,0.0
2022,3,0.61,0.0
2022,4,0.61,0.0
2022,5,0.61,0.0
2022,6,0.57,0.0
2022,7,0.57,0.0
2022,8,0.57,0.0
2022,9,0.57,0.0
2022,10,0.08,0.0
2022,11,0.08,0.0
2022,12,0.08,0.0
2022,13,0.08,0.0
2022,14,0.04,0.0
2022,15,0.04,0.0
2022,16,0.04,0.0
2022,17,0.04,0.0
2022,18,0.04,0.0
2022,19,0.34,0.0
2022,20,0.34,0.0
2022,21,0.34,0.0
2022,22,0.34,0.0
2022,23,0.48,0.0
2022,24,0.48,0.0
2022,25,0.48,0.0
2022,26,0.48,0.0
2022,27,0.32,0.0
2022,28,0.32,0.0
2022,29,0.32,0.0
2022,30,0.32,0.0
2022,31,0.32,0.0
2022,32,0.47,0.0
2022,33,0.47,0.0
2022,34,0.47,0.0
2022,35,0.47,0.0
2022,36,0.62,0.0
2022,37,0.62,0.0
2022,38,0.62,0.0
2022,39,0.62,0.0
2022,40,0.5,0.0
2022,41,0.5,0.0
2022,42,0.5,0.0
2022,43,0.5,0.0
2022,44,0.5,0.0
2022,45,0.33,0.0
2022,46,0.33,0.0
2022,47,0.33,0.0
2022,48,0.33,0.0
2022,49,0.48,0.0
2022,50,0.48,0.0
2022,51,0.48,0.0
2022,52,0.48,0.0
2023,1,0.47,0.0
2023,2,0.47,0.0
2023,3,0.47,0.0
2023,4,0.47,0.0
2023,5,0.47,0.0
2023,6,0.22,0.0
2023,7,0.22,0.0
2023,8,0.22,0.0
2023,9,0.22,0.0
