z1,z2,z3,province,year,split
0.12307521,1.2619989,-0.42329675,12 La Romana,2021,val
-0.44677263,1.5118635,-1.1323788,12 La Romana,2022,test
0.57433754,1.1930411,0.154173,12 La Romana,2023,test
0.96903044,-2.023763,1.3921429,13 La Vega,2015,train
-4.4147563,-1.099937,-3.4349966,13 La Vega,2016,train
-1.9923261,-1.3971058,-1.5170418,13 La Vega,2017,train
-0.6130902,-1.469759,-0.22230655,13 La Vega,2018,train
-0.064534634,-1.3495913,1.0166093,13 La Vega,2019,train
-2.9704309,-0.9468928,-2.3997872,13 La Vega,2020,val
-1.3485918,-1.2956368,-0.60547584,13 La Vega,2021,val
-1.5144901,-1.2643802,-0.14221832,13 La Vega,2022,test
-0.795955,-0.7894999,0.75004816,13 La Vega,2023,test
2.5244834,-2.1327446,-0.23878774,14 María Trinidad Sánchez,2015,train
-2.187763,-0.7282689,-5.9893703,14 María Trinidad Sánchez,2016,train
-0.5442069,-0.73274,-3.2441366,14 María Trinidad Sánchez,2017,train
1.09615,-1.6988984,-1.9120356,14 María Trinidad Sánchez,2018,train
1.8292384,-1.7312635,-0.64828515,14 María Trinidad Sánchez,2019,train
-1.1572527,-0.558853,-4.6989703,14 María Trinidad Sánchez,2020,val
0.21814917,-1.1967914,-2.125295,14 María Trinidad Sánchez,2021,val
0.29437667,-0.991616,-1.4482126,14 María Trinidad Sánchez,2022,test
0.47488385,-0.5495937,-0.4253959,14 María Trinidad Sánchez,2023,test
3.146169,1.8226088,1.5363789,15 Monte Cristi,2015,train
-1.136133,5.1335354,-3.5233028,15 Monte Cristi,2016,train
0.08307016,3.0732553,-1.2406521,15 Monte Cristi,2017,train
1.2359661,2.5581572,0.37275097,15 Monte Cristi,2018,train
2.0272064,1.7737586,1.0221986,15 Monte Cristi,2019,train
-0.50999033,4.1101766,-1.7909473,15 Monte Cristi,2020,val
0.40785497,2.9518716,-0.26361415,15 Monte Cristi,2021,val
0.8802937,2.612659,-0.034654982,15 Monte Cristi,2022,test
1.4225266,1.9773035,0.5765204,15 Monte Cristi,2023,test
2.5713341,2.0832014,2.2402256,16 Pedernales,2015,train
-1.8623685,5.089375,-2.8623838,16 Pedernales,2016,train
-0.63023955,4.2065816,0.36473992,16 Pedernales,2017,train
0.42183346,3.247342,1.8147714,16 Pedernales,2018,train
1.4037546,1.7940916,1.9272882,16 Pedernales,2019,train
-1.0773362,4.137733,-1.2478695,16 Pedernales,2020,val
-0.19397639,3.5097992,0.97693735,16 Pedernales,2021,val
-0.26981813,3.0954635,0.1875944,16 Pedernales,2022,test
0.8081342,2.6245556,1.3691047,16 Pedernales,2023,test
1.8838993,-1.0308717,0.8502875,17 Peravia,2015,train
-2.7407196,0.41059864,-4.314672,17 Peravia,2016,train
-1.101015,0.5625167,-0.8829384,17 Peravia,2017,train
0.09688231,0.21889968,0.21903534,17 Peravia,2018,train
0.96659034,-0.3688708,0.8594375,17 Peravia,2019,train
-2.2176194,1.332071,-2.5386112,17 Peravia,2020,val
-0.23524018,0.31552282,-0.09007046,17 Peravia,2021,val
-0.5393826,0.29261225,-0.48940176,17 Peravia,2022,test
-0.0036018938,0.20097746,0.3682544,17 Peravia,2023,test
3.2074585,-1.0122266,0.1333877,18 Puerto Plata,2015,train
-1.5690054,1.5382642,-5.5515924,18 Puerto Plata,2016,train
0.043422528,0.47712478,-2.3156388,18 Puerto Plata,2017,train
0.9643745,0.11749634,-0.93881935,18 Puerto Plata,2018,train
1.886717,-0.53867596,-0.07381024,18 Puerto Plata,2019,train
-0.73580825,1.0974728,-3.793715,18 Puerto Plata,2020,val
0.44926286,0.20317851,-1.3128263,18 Puerto Plata,2021,val
0.78198713,0.11541197,-1.1044465,18 Puerto Plata,2022,test
0.8664107,0.19878995,-0.11039185,18 Puerto Plata,2023,test
1.6119472,-1.9172933,0.91049665,19 Hermanas Mirabal,2015,train
-3.806842,-0.51656455,-4.1972647,19 Hermanas Mirabal,2016,train
-1.3550476,-0.8754222,-1.8932576,19 Hermanas Mirabal,2017,train
-0.031463653,-1.2495893,-0.649138,19 Hermanas Mirabal,2018,train
