province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
08 El Seibo,2023,30,3.2084240500155095,1.8577344333556833,1.7388009815319345,14
08 El Seibo,2023,31,3.743129876386299,3.2084240500155095,1.8577344333556833,14
08 El Seibo,2023,32,4.140467023205076,3.743129876386299,3.2084240500155095,14
08 El Seibo,2023,33,6.048223435464486,4.140467023205076,3.743129876386299,14
08 El Seibo,2023,34,6.188966479895031,6.048223435464486,4.140467023205076,14
08 El Seibo,2023,35,13.894258805931187,6.188966479895031,6.048223435464486,14
08 El Seibo,2023,36,18.115423824431502,13.894258805931187,6.188966479895031,14
08 El Seibo,2023,37,12.777833135978966,18.115423824431502,13.894258805931187,14
08 El Seibo,2023,38,0.20366163893717554,12.777833135978966,18.115423824431502,14
08 El Seibo,2023,39,0.0,0.20366163893717554,12.777833135978966,14
08 El Seibo,2023,40,0.0,0.0,0.20366163893717554,14
08 El Seibo,2023,41,0.0,0.0,0.0,14
08 El Seibo,2023,42,0.0,0.0,0.0,14
08 El Seibo,2023,43,0.0,0.0,0.0,14
08 El Seibo,2023,44,0.0,0.0,0.0,14
08 El Seibo,2023,45,0.0,0.0,0.0,14
08 El Seibo,2023,46,0.0,0.0,0.0,14
08 El Seibo,2023,47,0.0,0.0,0.0,14
08 El Seibo,2023,48,0.0,0.0,0.0,14
08 El Seibo,2023,49,0.0,0.0,0.0,14
08 El Seibo,2023,50,0.0,0.0,0.0,14
08 El Seibo,2023,51,0.0,0.0,0.0,14
08 El Seibo,2023,52,0.0,0.0,0.0,14
09 Espaillat,2015,1,1.008721507171051,,,20
09 Espaillat,2015,2,0.9604877164722072,1.008721507171051,,20
09 Espaillat,2015,3,0.7605450452235216,0.9604877164722072,1.008721507171051,20
09 Espaillat,2015,4,1.148323652111934,0.7605450452235216,0.9604877164722072,20
09 Espaillat,2015,5,1.8549094792774015,1.148323652111934,0.7605450452235216,20
09 Espaillat,2015,6,0.9702849743772968,1.8549094792774015,1.148323652111934,20
09 Espaillat,2015,7,0.8047539006600811,0.9702849743772968,1.8549094792774015,20
09 Espaillat,2015,8,0.8844532815225133,0.8047539006600811,0.9702849743772968,20
09 Espaillat,2015,9,1.3927447459127411,0.8844532815225133,0.8047539006600811,20
09 Espaillat,2015,10,1.0279617424446814,1.3927447459127411,0.8844532815225133,20
09 Espaillat,2015,11,1.0049315916569832,1.0279617424446814,1.3927447459127411,20
09 Espaillat,2015,12,1.9704840467638438,1.0049315916569832,1.0279617424446814,20
09 Espaillat,2015,13,1.376616200530246,1.9704840467638438,1.0049315916569832,20
09 Espaillat,2015,14,1.5235277167377672,1.376616200530246,1.9704840467638438,20
