z1,z2,z3,z4,province,year,split
2.5842009,2.1161718,-5.259879,2.399509,12 La Romana,2023,test
0.5573349,3.402062,-1.263991,3.1600413,13 La Vega,2015,train
3.7390034,1.7754114,-1.1100686,3.1230338,13 La Vega,2016,train
3.9900954,2.350629,-1.2949575,2.2733948,13 La Vega,2017,train
2.4269657,3.4069567,-1.4752563,1.7330679,13 La Vega,2018,train
0.9896463,2.5474305,-0.9113134,2.4622598,13 La Vega,2019,train
3.740189,2.0796576,-1.301497,2.5139525,13 La Vega,2020,val
3.6676533,2.6102657,-1.3835256,1.8699583,13 La Vega,2021,val
3.351021,2.122521,-1.2337681,2.1190825,13 La Vega,2022,test
1.7508659,2.06347,-1.0009103,2.062335,13 La Vega,2023,test
0.84120584,4.645838,-3.320956,3.958867,14 María Trinidad Sánchez,2015,train
5.654744,2.732492,-3.1513987,4.3456974,14 María Trinidad Sánchez,2016,train
6.872058,2.7454276,-2.9829729,2.3928344,14 María Trinidad Sánchez,2017,train
4.2276773,4.9297276,-3.7535212,1.5954591,14 María Trinidad Sánchez,2018,train
2.0113997,4.0493903,-2.8183618,3.3061357,14 María Trinidad Sánchez,2019,train
5.7744827,2.9990172,-3.2710009,3.463954,14 María Trinidad Sánchez,2020,val
5.375761,3.538431,-2.990825,2.18935,14 María Trinidad Sánchez,2021,val
4.8507924,3.0472941,-2.634573,2.3574672,14 María Trinidad Sánchez,2022,test
2.8710654,3.2272778,-2.4952707,2.6351929,14 María Trinidad Sánchez,2023,test
0.45121884,2.6292505,-9.89481,3.831897,15 Monte Cristi,2015,train
4.8644133,0.7947661,-9.544768,3.8397684,15 Monte Cristi,2016,train
5.595394,1.5511599,-8.191403,2.2281904,15 Monte Cristi,2017,train
2.9003549,2.5326536,-8.657792,1.5523716,15 Monte Cristi,2018,train
0.998614,1.7786614,-7.6782227,2.8655849,15 Monte Cristi,2019,train
4.9872284,1.1859552,-8.388579,2.635418,15 Monte Cristi,2020,val
4.092063,1.8483988,-7.685316,1.6125824,15 Monte Cristi,2021,val
4.2105865,1.5155373,-7.615329,2.3312476,15 Monte Cristi,2022,test
1.820858,2.0672042,-7.5611477,2.6017976,15 Monte Cristi,2023,test
0.3318336,1.7620609,-8.407382,3.5159214,16 Pedernales,2015,train
5.086668,0.35366106,-8.30571,3.459687,16 Pedernales,2016,train
4.3344593,0.6326711,-7.422147,1.4174922,16 Pedernales,2017,train
2.1216989,1.1216365,-7.2761135,1.5865144,16 Pedernales,2018,train
0.88471854,1.0536761,-6.1227865,2.5463464,16 Pedernales,2019,train
4.237752,0.57013226,-6.932185,2.8294134,16 Pedernales,2020,val
3.0798793,0.7777149,-6.829508,1.4395053,16 Pedernales,2021,val
3.481636,0.90685356,-6.489959,2.0068178,16 Pedernales,2022,test
1.3038051,1.1196258,-6.760272,2.3209164,16 Pedernales,2023,test
0.3493961,3.3580043,-3.2704892,3.4535997,17 Peravia,2015,train
3.9645555,1.7387831,-2.4006684,3.6790128,17 Peravia,2016,train
3.995753,1.6486373,-2.4451444,2.0396109,17 Peravia,2017,train
2.8219714,2.661623,-2.7815652,1.0068233,17 Peravia,2018,train
0.773504,2.2434225,-2.099839,2.5811906,17 Peravia,2019,train
4.3098874,1.5207334,-2.724972,2.2591972,17 Peravia,2020,val
3.2184877,1.9414759,-2.3620737,1.8881924,17 Peravia,2021,val
3.7018218,1.7425244,-2.3567631,1.9944984,17 Peravia,2022,test
2.2790508,2.0632963,-2.1442323,2.1372097,17 Peravia,2023,test
0.47408676,4.4715223,-6.0177555,3.990596,18 Puerto Plata,2015,train
5.5516977,2.5109403,-5.595008,4.3426585,18 Puerto Plata,2016,train
6.42082,2.706708,-4.7797604,1.946035,18 Puerto Plata,2017,train
4.314496,4.651898,-5.3078203,0.78783447,18 Puerto Plata,2018,train
1.6462011,3.5198705,-4.790265,3.0100935,18 Puerto Plata,2019,train
5.6469584,2.8788188,-5.284321,3.0551076,18 Puerto Plata,2020,val
4.936242,3.2229,-4.5326147,1.8574233,18 Puerto Plata,2021,val
4.740642,2.812369,-4.453924,2.2024622,18 Puerto Plata,2022,test
2.4597714,2.899832,-4.3636103,2.429297,18 Puerto Plata,2023,test
0.30776346,3.6373303,-1.7297342,3.4867,19 Hermanas Mirabal,2015,train
4.374346,1.725512,-1.6869149,3.5207853,19 Hermanas Mirabal,2016,train
4.8972754,2.3414207,-1.8377573,2.248272,19 Hermanas Mirabal,2017,train
2.9304504,3.824132,-2.1537294,1.7706465,19 Hermanas Mirabal,2018,train
1.155321,2.8741927,-1.369097,2.5897489,19 Hermanas Mirabal,2019,train
4.754834,2.044827,-2.0084891,2.397438,19 Hermanas Mirabal,2020,val
3.9878824,2.7871594,-1.8107262,1.7336402,19 Hermanas Mirabal,2021,val
3.6063972,2.263342,-1.5062169,2.158526,19 Hermanas Mirabal,2022,test
2.0827107,2.3785129,-1.4453748,2.2683697,19 Hermanas Mirabal,2023,test
0.6472825,4.591831,-4.80787,4.0975304,20 Samaná,2015,train
5.874202,2.622291,-4.51251,4.5238695,20 Samaná,2016,train
6.481262,2.7144759,-3.595672,2.3002098,20 Samaná,2017,train
4.2013717,4.6581445,-4.299883,1.4875085,20 Samaná,2018,train
2.2915525,4.0496984,-3.9335485,3.0819774,20 Samaná,2019,train
6.8326216,2.5612588,-4.087921,2.3239458,20 Samaná,2020,val
5.2871494,3.5136607,-3.8072858,1.3090613,20 Samaná,2021,val
4.9894485,3.002708,-3.3860226,2.3443236,20 Samaná,2022,test
3.0721066,3.2844138,-3.386696,2.510684,20 Samaná,2023,test
0.36469334,3.699106,-1.6717751,3.4861944,21 San Cristóbal,2015,train
4.4603877,2.1689882,-1.6031379,3.9598508,21 San Cristóbal,2016,train
5.083967,2.4857864,-1.7302172,2.3579435,21 San Cristóbal,2017,train
3.1433554,4.1867456,-2.0190048,1.7013649,21 San Cristóbal,2018,train
1.4246395,3.5127506,-1.1074969,2.854928,21 San Cristóbal,2019,train
5.1974535,2.3352435,-1.7570822,2.9378695,21 San Cristóbal,2020,val
4.079506,3.006267,-1.5913454,2.1776714,21 San Cristóbal,2021,val
4.462022,2.642795,-1.4619704,2.3161135,21 San Cristóbal,2022,test
2.558304,2.9657776,-1.3218341,2.4032855,21 San Cristóbal,2023,test
0.69602007,2.8743582,-1.416307,2.835389,22 San Juan,2015,train
3.8312955,1.4234401,-1.3360746,2.9511247,22 San Juan,2016,train
2.8780186,1.5324309,-1.4532351,2.0172496,22 San Juan,2017,train
1.7889402,1.9629118,-1.2497969,1.5822138,22 San Juan,2018,train
1.154192,1.9206977,-1.0860856,2.0984056,22 San Juan,2019,train
2.7700102,1.3690358,-1.2600317,2.3051572,22 San Juan,2020,val
2.9871004,2.2486987,-1.5207303,1.5922066,22 San Juan,2021,val
2.798577,1.8186493,-1.3178244,1.980995,22 San Juan,2022,test
1.536925,1.7651045,-1.044142,1.9612346,22 San Juan,2023,test
0.4414298,3.4924273,-6.141429,3.6650429,23 San Pedro de Macorís,2015,train
5.233595,1.6151198,-5.8281517,4.3801947,23 San Pedro de Macorís,2016,train
4.5889864,1.5470847,-4.3154373,2.2117925,23 San Pedro de Macorís,2017,train
2.8806903,2.8879402,-4.7633133,1.339041,23 San Pedro de Macorís,2018,train
0.97008264,2.1359644,-4.1528196,2.6546052,23 San Pedro de Macorís,2019,train
5.2926126,1.3741324,-4.833009,2.4352849,23 San Pedro de Macorís,2020,val
4.08161,1.9072286,-4.160816,1.6772996,23 San Pedro de Macorís,2021,val
4.607074,1.8570956,-4.400794,1.7887399,23 San Pedro de Macorís,2022,test
2.717711,2.0832655,-4.354166,2.1196923,23 San Pedro de Macorís,2023,test
0.41744828,3.838258,-1.212534,3.4441304,24 Sánchez Ramírez,2015,train
4.561681,2.2089765,-1.4759943,3.7065413,24 Sánchez Ramírez,2016,train
5.013361,2.560855,-1.6697311,2.329361,24 Sánchez Ramírez,2017,train
2.9904647,4.0674667,-2.0525248,1.6394136,24 Sánchez Ramírez,2018,train
1.1410801,3.103414,-1.1166478,2.8293016,24 Sánchez Ramírez,2019,train
4.970969,2.0202336,-1.668948,2.6579256,24 Sánchez Ramírez,2020,val
4.083543,3.0905478,-1.656764,1.5339277,24 Sánchez Ramírez,2021,val
3.8804832,2.4893217,-1.4333647,2.271792,24 Sánchez Ramírez,2022,test
2.1649673,2.6349764,-1.2977575,2.3807645,24 Sánchez Ramírez,2023,test
0.6088367,3.2630577,-1.2435046,3.1190326,25 Santiago,2015,train
3.6617122,1.6052078,-0.78558904,2.8936067,25 Santiago,2016,train
3.5845313,2.4092567,-0.97882414,2.2079566,25 Santiago,2017,train
2.078374,3.0239391,-0.7913345,1.760981,25 Santiago,2018,train
1.1251429,2.43158,-0.63117665,2.3381324,25 Santiago,2019,train
3.2527704,2.0555425,-0.738905,2.6992273,25 Santiago,2020,val
3.2534018,2.6003785,-0.88171166,2.036634,25 Santiago,2021,val
3.0762544,2.3047032,-0.81970966,2.1598487,25 Santiago,2022,test
1.6701492,2.2311988,-0.607424,2.1670394,25 Santiago,2023,test
0.5135298,1.8612301,-3.2221076,2.7963266,26 Santiago Rodríguez,2015,train
3.3560321,0.7430346,-2.5829537,2.732438,26 Santiago Rodríguez,2016,train
3.4488895,1.1404188,-2.7086582,1.8007903,26 Santiago Rodríguez,2017,train
2.0492435,1.4887536,-3.3075488,1.3303161,26 Santiago Rodríguez,2018,train
1.032395,1.1664358,-2.6000257,2.0738769,26 Santiago Rodríguez,2019,train
2.3549352,0.6516835,-2.3602471,1.9425756,26 Santiago Rodríguez,2020,val
2.7808099,1.3865211,-3.0633302,1.4533477,26 Santiago Rodríguez,2021,val
2.409503,1.0796077,-2.4107924,1.7642248,26 Santiago Rodríguez,2022,test
1.2085768,1.2326759,-2.0371585,1.9029249,26 Santiago Rodríguez,2023,test
0.40810943,1.9861495,-3.389786,2.9390724,27 Valverde,2015,train
3.7112153,0.6549817,-2.5209365,2.7663565,27 Valverde,2016,train
2.9354005,1.2220118,-2.4284396,1.913309,27 Valverde,2017,train
1.9344957,1.576954,-2.7831066,1.4220133,27 Valverde,2018,train
0.9702922,1.3164139,-2.5260775,2.1739829,27 Valverde,2019,train
2.5731616,0.85603195,-2.5449667,1.8646135,27 Valverde,2020,val
2.6067076,1.4782865,-2.757194,1.5017153,27 Valverde,2021,val
2.6025896,1.2138351,-2.3172553,1.8551818,27 Valverde,2022,test
1.5651321,1.3392241,-2.1821306,1.754761,27 Valverde,2023,test
0.45737624,3.6810267,-1.2632266,3.3443441,28 Monseñor Nouel,2015,train
4.3408966,2.0388062,-1.3450607,3.559293,28 Monseñor Nouel,2016,train
4.2220535,2.4419427,-1.4432719,2.2686486,28 Monseñor Nouel,2017,train
3.08609,3.5864344,-1.8920426,1.1598,28 Monseñor Nouel,2018,train
1.0378633,2.8753161,-0.99624246,2.693225,28 Monseñor Nouel,2019,train
4.236388,2.1768057,-1.4875413,2.5796745,28 Monseñor Nouel,2020,val
3.9209187,2.7440414,-1.5446551,1.7933754,28 Monseñor Nouel,2021,val
3.7823627,2.3891554,-1.3793294,2.1430306,28 Monseñor Nouel,2022,test
2.2918346,2.3718972,-1.2198573,2.1456053,28 Monseñor Nouel,2023,test
0.55396765,3.5545588,-2.304687,3.3043272,29 Monte Plata,2015,train
5.0555058,1.8436191,-2.1139975,3.9135666,29 Monte Plata,2016,train
4.8874025,1.9751241,-2.0606513,2.2156847,29 Monte Plata,2017,train
3.3035536,3.3891902,-2.5492458,0.892591,29 Monte Plata,2018,train
0.98950887,2.4769788,-1.39535,2.634314,29 Monte Plata,2019,train
4.096195,1.689606,-1.9623774,2.6512618,29 Monte Plata,2020,val
3.6046984,2.2683082,-1.8409569,1.90518,29 Monte Plata,2021,val
3.5479665,2.0503104,-1.612437,2.1144593,29 Monte Plata,2022,test
2.0791245,2.2154913,-1.670881,2.2739234,29 Monte Plata,2023,test
0.71275127,3.7591588,-4.0008955,3.4922402,30 Hato Mayor,2015,train
5.2910852,1.9607599,-3.964499,3.9229205,30 Hato Mayor,2016,train
5.05334,1.7439592,-3.438041,2.0508273,30 Hato Mayor,2017,train
3.0134668,2.8752813,-3.570622,1.0148783,30 Hato Mayor,2018,train
1.2481896,2.279437,-2.8608022,2.3836517,30 Hato Mayor,2019,train
4.9077005,1.5205693,-3.3915038,2.2575986,30 Hato Mayor,2020,val
3.2545857,1.8349175,-3.2505069,1.5051489,30 Hato Mayor,2021,val
3.8663516,1.6680093,-2.9223254,2.021574,30 Hato Mayor,2022,test
2.3829057,1.8614068,-2.8789144,2.1415696,30 Hato Mayor,2023,test
0.466408,3.551371,-1.3777233,3.269596,31 San José de Ocoa,2015,train
5.0262737,1.7636285,-1.6312562,3.2190742,31 San José de Ocoa,2016,train
3.85933,2.1282582,-1.6411792,2.0354996,31 San José de Ocoa,2017,train
2.1891046,2.9681444,-1.5144739,1.590793,31 San José de Ocoa,2018,train
0.95692897,2.5450826,-1.0156813,2.4639034,31 San José de Ocoa,2019,train
3.7487388,2.048321,-1.5057834,2.4523733,31 San José de Ocoa,2020,val
3.651241,2.5039902,-1.6160665,1.755449,31 San José de Ocoa,2021,val
3.4015336,2.2303276,-1.4284058,1.9926981,31 San José de Ocoa,2022,test
2.3440418,2.457316,-1.3175219,2.0633943,31 San José de Ocoa,2023,test
0.9705918,4.074749,0.6607022,3.176473,32 Santo Domingo,2015,train
4.36472,2.835477,0.538262,3.747079,32 Santo Domingo,2016,train
4.2841015,3.45672,0.35233867,2.7872658,32 Santo Domingo,2017,train
2.680076,4.3303804,0.57135475,1.891393,32 Santo Domingo,2018,train
1.2539855,3.5497818,0.95169234,2.8078294,32 Santo Domingo,2019,train
4.1387157,3.0629275,0.5194819,3.1350713,32 Santo Domingo,2020,val
3.6725178,3.8223994,0.5059122,2.3761077,32 Santo Domingo,2021,val
3.9318855,3.6533659,0.56570756,2.6429381,32 Santo Domingo,2022,test
2.169993,3.3811603,0.9704337,2.4506583,32 Santo Domingo,2023,test
