province,year,month,week,total_cases,avg_temp,max_temp,min_temp,avg_rainfall,max_rainfall,min_rainfall,avg_humidity,max_humidity,min_humidity,population,diurnal_temp_range,consecutive_dry_weeks,consecutive_wet_weeks,extreme_rainfall_binary,cooling_degree_days,rainy_season_phase,school_calendar_active,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors,nino34_anom,soi_index,tna_sst_anom,solar_radiation,wind_speed,dew_point_temp,incidence,dI_dt,dI_dt_norm
01 Distrito Nacional,2022,2,6,7,23.44,28.6,19.5,3.29,14.9,0.8,79.9,95,50,1056690,9.1,0.0,0.0,0.0,5.440000000000001,0.0,1.0,0.7209126174103502,1.199549231232235,0.8018778611773572,22.0,-0.37,1.4500000000000002,0.57,5.241157142857142,2.371428571428571,20.544285714285717,0.6624459396795654,-0.04731756711996893,-0.06374165089397521
01 Distrito Nacional,2022,2,7,6,24.03,30.2,18.6,1.43,2.8,0.5,75.1,94,41,1056690,11.599999999999998,0.0,0.0,0.0,6.030000000000001,0.0,1.0,0.8191752734732558,0.7209126174103502,1.199549231232235,22.0,-0.37,1.4500000000000002,0.57,5.4067428571428575,2.665714285714286,20.45142857142857,0.5678108054396276,-0.09463513423993791,-0.12748330178795048
01 Distrito Nacional,2022,2,8,5,23.79,29.6,19.9,0.87,2.2,0.2,71.6,92,45,1056690,9.700000000000005,1.0,0.0,0.0,5.789999999999999,0.0,1.0,0.6397368340307752,0.8191752734732558,0.7209126174103502,22.0,-0.37,1.4500000000000002,0.57,5.813685714285714,2.72,19.165714285714284,0.4731756711996896,-0.09463513423993797,-0.12748330178795056
01 Distrito Nacional,2022,3,9,4,23.91,29.4,20.1,3.14,10.4,0.1,81.6,96,53,1056690,9.299999999999995,0.0,0.0,0.0,5.91,0.0,1.0,0.959618157094414,0.6397368340307752,0.8191752734732558,22.0,-0.37,1.4500000000000002,0.57,5.573442857142857,2.13,20.97142857142857,0.37854053695975165,0.28390540271981374,0.38244990536385143
01 Distrito Nacional,2022,3,10,11,23.76,29.8,20.0,2.74,4.4,0.5,80.9,96,54,1056690,9.8,0.0,0.0,0.0,5.760000000000002,0.0,1.0,0.8740933509938065,0.959618157094414,0.6397368340307752,22.0,-0.69,2.35,0.08,5.791200000000001,2.5471428571428567,20.717142857142857,1.040986476639317,0.047317567119968984,0.06374165089397528
01 Distrito Nacional,2022,3,11,5,24.4,30.1,20.3,1.09,2.0,0.1,76.1,94,46,1056690,9.8,0.0,0.0,0.0,6.399999999999999,0.0,1.0,0.8101487972803482,0.8740933509938065,0.959618157094414,22.0,-0.69,2.35,0.08,6.3419,2.771428571428572,20.197142857142858,0.4731756711996896,0.09463513423993797,0.12748330178795056
01 Distrito Nacional,2022,3,12,13,24.33,29.5,19.4,1.61,8.0,0.0,76.2,96,48,1056690,10.1,0.0,0.0,0.0,6.329999999999998,0.0,1.0,0.8756622275992715,0.8101487972803482,0.8740933509938065,22.0,-0.69,2.35,0.08,6.564028571428572,2.3242857142857143,19.86142857142857,1.230256745119193,0.28390540271981374,0.38244990536385143
01 Distrito Nacional,2022,4,13,11,23.74,28.8,20.2,8.07,25.1,0.4,82.2,96,56,1056690,8.600000000000001,0.0,0.0,0.0,5.739999999999998,0.0,1.0,1.016597397315192,0.8756622275992715,0.8101487972803482,22.0,-0.69,2.35,0.08,5.674257142857143,2.455714285714285,20.525714285714287,1.040986476639317,-0.23658783559984486,-0.31870825446987633
01 Distrito Nacional,2022,4,14,8,24.59,28.3,20.3,0.87,2.4,0.1,80.5,98,57,1056690,8.0,1.0,0.0,0.0,6.59,0.0,1.0,1.2507703380944255,1.016597397315192,0.8756622275992715,22.0,-0.83,2.25,0.04,6.729871428571428,2.197142857142857,20.54285714285714,0.7570810739195033,-0.1419527013599069,-0.19122495268192577
01 Distrito Nacional,2022,4,15,8,24.21,29.8,20.6,3.94,13.7,1.2,80.1,96,49,1056690,9.2,0.0,0.0,0.0,6.210000000000001,0.0,1.0,1.0791693041993298,1.2507703380944255,1.016597397315192,22.0,-0.83,2.25,0.04,6.316828571428571,2.5042857142857144,20.46142857142857,0.7570810739195033,-0.18927026847987583,-0.25496660357590095
