z1,z2,z3,z4,z5,z6,province,year,split
0.11897403,0.3472237,-1.4544176,1.3428051,0.30039406,-0.29992777,10 Independencia,2021,val
0.71200025,-0.12026586,-1.5294759,-1.459829,-0.4830309,0.36313784,11 La Altagracia,2015,train
2.30813,0.3105552,-0.696276,-1.0439899,-0.7799288,-1.2696723,11 La Altagracia,2016,train
0.74177134,1.43519,-2.087023,-0.10629362,-1.207633,-2.3427067,11 La Altagracia,2017,train
-0.09187567,0.5649656,-2.0988822,-0.67496794,-0.8583013,-1.1598147,11 La Altagracia,2018,train
0.9524112,0.26358673,-0.4798627,-0.5726071,-1.3286868,0.09884251,11 La Altagracia,2019,train
1.6334418,0.41424432,-1.0133666,-0.07473122,-0.7385847,-1.4361322,11 La Altagracia,2020,val
0.6325437,0.7011167,-1.5503652,-0.32043755,0.07154724,-0.939202,11 La Altagracia,2021,val
0.19649145,-0.39816922,-1.1952993,-0.64937747,-0.06300828,0.9584157,12 La Romana,2015,train
1.9579309,0.135597,-0.39117756,-0.26228046,-0.073334865,-0.7779078,12 La Romana,2016,train
0.2806219,2.71854,-2.0418124,0.36578396,-0.7433101,-2.1753826,12 La Romana,2017,train
-0.3468653,1.1504136,-1.1393517,-0.11976535,-1.0178521,0.12581873,12 La Romana,2018,train
0.6965786,0.40159354,-0.08755248,-0.35202897,-0.7313092,0.6308117,12 La Romana,2019,train
1.6653101,0.56027883,-0.76097375,0.14640585,0.08411377,-0.7862991,12 La Romana,2020,val
0.46054736,0.85513735,-1.3109248,-0.08126482,0.42400086,-0.43429545,12 La Romana,2021,val
-1.9748026,-2.4162016,0.61503696,0.2421717,0.8864316,1.2595873,13 La Vega,2015,train
-0.10182743,-1.468084,1.687,1.231411,0.8117362,-1.5648082,13 La Vega,2016,train
-1.2161586,-0.2834704,1.3470032,0.5155284,0.8059844,-1.4078748,13 La Vega,2017,train
-2.419226,-0.81466156,0.5411251,0.44330892,0.95538676,-0.53438944,13 La Vega,2018,train
-1.3144255,-1.1761081,1.4115354,0.7159687,0.009536824,0.30705568,13 La Vega,2019,train
-0.77990055,-1.061874,1.7230928,0.9475927,0.37384155,-1.6303865,13 La Vega,2020,val
-1.9380711,-0.54436004,1.0298125,0.7733703,0.8296656,-1.3682581,13 La Vega,2021,val
-0.56183606,-0.7930941,-0.019060649,-1.3360872,-0.17843501,0.6306288,14 María Trinidad Sánchez,2015,train
1.007308,-0.10021622,1.0055481,-0.745957,0.10549222,-1.0408924,14 María Trinidad Sánchez,2016,train
-0.2404327,1.0634016,0.73623383,-0.40651384,-0.8261377,-2.036459,14 María Trinidad Sánchez,2017,train
-1.3193555,0.55317026,0.14764951,-1.1474777,-0.27139857,-0.6678549,14 María Trinidad Sánchez,2018,train
0.026791112,0.004927402,0.6882495,-0.9244818,-0.46603343,0.1175373,14 María Trinidad Sánchez,2019,train
0.6399371,0.2157657,0.77708966,-0.7775343,0.07058707,-1.1551086,14 María Trinidad Sánchez,2020,val
-0.47847918,0.6998078,0.1942051,-0.6659732,0.13531056,-1.1145946,14 María Trinidad Sánchez,2021,val
