z1,z2,z3,z4,z5,z6,province,year,split
1.5749488,-3.0374365,0.72480917,4.5345154,-0.4591431,-0.0029076673,15 Monte Cristi,2015,train
4.1933055,-1.4870667,-0.07274306,4.5046816,-0.06368277,2.8313572,15 Monte Cristi,2016,train
2.4575067,-0.7986457,-3.7744308,1.9487036,-1.5611268,1.7412568,15 Monte Cristi,2017,train
0.05685558,-1.5244746,-3.4254513,5.0777936,-1.5216576,0.20992601,15 Monte Cristi,2018,train
1.8793343,-2.4525313,-0.58793455,1.4996967,-2.2025888,-1.0306505,15 Monte Cristi,2019,train
2.7109392,-1.5264851,-2.8732357,2.763138,-1.2097504,3.3020546,15 Monte Cristi,2020,val
0.937383,-0.89932686,-3.1392913,3.95117,-1.1836171,2.0569057,15 Monte Cristi,2021,val
0.6746027,-4.019518,1.5512102,3.935013,-2.0425878,0.22850354,16 Pedernales,2015,train
4.168764,-2.75324,-0.63464993,0.31382427,-3.2471561,4.4426994,16 Pedernales,2016,train
1.6632288,-1.8556324,-4.314713,-0.123196274,-5.955379,3.024053,16 Pedernales,2017,train
-0.9024044,-2.2564788,-2.866688,2.1143336,-6.480525,-1.0291811,16 Pedernales,2018,train
1.4156333,-3.088734,0.55638206,0.13073137,-4.0597525,0.20388307,16 Pedernales,2019,train
3.397948,-2.0723388,-1.2859557,0.9261149,-3.7484581,2.038125,16 Pedernales,2020,val
0.97002536,-1.6832844,-3.8782241,-0.1428243,-6.646776,0.051272165,16 Pedernales,2021,val
-0.87032646,-0.5033574,1.069888,1.5333266,0.8361187,-0.43266258,17 Peravia,2015,train
2.9840355,0.36946008,1.1453103,-0.36595213,0.13723531,0.3971028,17 Peravia,2016,train
0.79940766,1.5209192,-0.7245457,1.0862753,-0.5035194,0.8938684,17 Peravia,2017,train
-2.7491658,1.1736743,-1.8180223,2.0663624,0.25993958,1.4281514,17 Peravia,2018,train
0.18616688,-0.23650475,0.5085905,-0.052151088,-0.554321,-0.77897227,17 Peravia,2019,train
0.83817166,0.88508874,-0.7089455,0.5255946,0.7206949,2.9493873,17 Peravia,2020,val
0.14127485,1.3359236,-0.5648297,1.7677255,-0.70985866,-0.45626003,17 Peravia,2021,val
0.71510315,-2.115563,0.7352805,2.565057,2.4229147,-0.2975856,18 Puerto Plata,2015,train
3.4399028,-0.5421771,-0.33990532,2.1828353,2.4870346,1.5221132,18 Puerto Plata,2016,train
1.6030651,0.40306127,-3.8149247,0.41775352,1.2233634,1.0166332,18 Puerto Plata,2017,train
-3.0173614,-0.99896675,-4.457104,1.5854815,1.9574646,1.0471454,18 Puerto Plata,2018,train
0.59350175,-1.3346084,-0.71223,0.19128583,0.44403687,-0.9304995,18 Puerto Plata,2019,train
2.683162,-0.59763813,-2.2892745,0.67247576,1.9795375,0.80334413,18 Puerto Plata,2020,val
0.7983849,0.23497008,-2.9532557,1.6568081,1.3061944,-0.26299024,18 Puerto Plata,2021,val
-1.8047903,-0.76189107,3.637992,0.18470392,2.6839309,-0.5646431,19 Hermanas Mirabal,2015,train
1.6880517,2.0157292,2.3004417,-0.2810456,2.7602575,2.6537154,19 Hermanas Mirabal,2016,train
0.087130174,2.3198867,-1.6297473,-2.7409625,0.6645158,0.37976477,19 Hermanas Mirabal,2017,train
-3.4743376,2.1860895,-1.3044714,-0.80323094,1.439457,-2.1231282,19 Hermanas Mirabal,2018,train
-1.9210353,-0.031400185,0.81729174,-2.7504833,0.6273618,-0.5476348,19 Hermanas Mirabal,2019,train
-0.09257334,1.5188633,-0.55462515,-3.1984289,2.0717404,2.7424119,19 Hermanas Mirabal,2020,val
-2.09282,1.8022475,-2.511656,-3.7110217,-0.70850956,-1.6125226,19 Hermanas Mirabal,2021,val
-0.011806719,-1.543448,0.65122926,1.0879531,2.0590773,-0.2772757,20 Samaná,2015,train
2.9662557,-0.42348313,-0.3461573,0.051251613,2.3211024,1.2500046,20 Samaná,2016,train
1.2411015,0.683923,-2.6602182,-0.733581,1.3128237,0.73992634,20 Samaná,2017,train
-1.976219,0.14331253,-3.8789794,-0.083719365,1.8360416,-1.0584879,20 Samaná,2018,train
-0.07633271,-1.1570296,-0.8713805,-1.2372091,1.1334416,-0.6147488,20 Samaná,2019,train
0.6185757,-0.27209133,-3.823066,-2.5423653,2.418045,3.983164,20 Samaná,2020,val
-2.08358,-0.12265871,-5.206916,-2.446793,0.96274614,1.31568,20 Samaná,2021,val
-0.7361483,-0.5350732,1.4046428,1.05778,1.3827486,-1.4687401,21 San Cristóbal,2015,train
3.4573195,0.26813656,0.8632738,-1.4646504,1.1384844,-0.34086838,21 San Cristóbal,2016,train
1.3359816,1.8550223,-1.7033049,-0.5723638,0.54228336,-0.3518041,21 San Cristóbal,2017,train
-1.5521947,1.2319983,-2.005488,1.0139458,1.477555,-2.0831854,21 San Cristóbal,2018,train
0.17865159,-0.45380947,-0.09405518,-1.089189,0.62385225,-1.6790171,21 San Cristóbal,2019,train
2.4441037,1.2484865,-0.78825355,-0.7114498,1.3579673,0.033699866,21 San Cristóbal,2020,val
0.16275816,1.4984962,-1.4057963,0.4078688,0.8560308,-1.5286647,21 San Cristóbal,2021,val
-2.7940958,0.9382312,3.2297702,0.16543327,0.84693325,-0.3017376,22 San Juan,2015,train
1.6769851,2.2240615,2.064263,-3.9153998,-0.7899014,1.432563,22 San Juan,2016,train
