z1,z2,province,year,split
0.596,15.845199,15 Monte Cristi,2018,train
0.6371841,15.1741495,15 Monte Cristi,2019,train
0.60089207,15.765491,15 Monte Cristi,2020,val
0.58481705,16.027416,15 Monte Cristi,2021,val
0.707123,14.034617,16 Pedernales,2015,train
0.60559815,15.688817,16 Pedernales,2016,train
0.6987231,14.171516,16 Pedernales,2017,train
0.70966566,13.993217,16 Pedernales,2018,train
0.7605159,13.164665,16 Pedernales,2019,train
0.60390437,15.7164135,16 Pedernales,2020,val
0.65061563,14.955346,16 Pedernales,2021,val
-0.0023101568,25.59365,17 Peravia,2015,train
-0.08744776,26.980835,17 Peravia,2016,train
0.08246946,24.212322,17 Peravia,2017,train
0.10527587,23.840738,17 Peravia,2018,train
0.08230412,24.215002,17 Peravia,2019,train
0.051903605,24.710344,17 Peravia,2020,val
0.026317358,25.127224,17 Peravia,2021,val
0.04941392,24.750893,18 Puerto Plata,2015,train
-0.01440227,25.790678,18 Puerto Plata,2016,train
-0.06283748,26.579845,18 Puerto Plata,2017,train
-0.024969578,25.962858,18 Puerto Plata,2018,train
0.051647186,24.714504,18 Puerto Plata,2019,train
-0.04793346,26.337015,18 Puerto Plata,2020,val
-0.03486979,26.124165,18 Puerto Plata,2021,val
-0.3432721,31.149042,19 Hermanas Mirabal,2015,train
-0.41093206,32.251465,19 Hermanas Mirabal,2016,train
-0.41788924,32.364807,19 Hermanas Mirabal,2017,train
-0.48216105,33.41201,19 Hermanas Mirabal,2018,train
-0.35171306,31.286572,19 Hermanas Mirabal,2019,train
-0.38176978,31.776308,19 Hermanas Mirabal,2020,val
-0.40223038,32.109688,19 Hermanas Mirabal,2021,val
-0.15552974,28.090096,20 Samaná,2015,train
-0.24184239,29.496424,20 Samaná,2016,train
-0.27519763,30.039888,20 Samaná,2017,train
-0.3369919,31.046719,20 Samaná,2018,train
-0.26314557,29.843512,20 Samaná,2019,train
-0.19955969,28.807508,20 Samaná,2020,val
-0.21454287,29.051645,20 Samaná,2021,val
-0.2325114,29.344378,21 San Cristóbal,2015,train
-0.32166576,30.797012,21 San Cristóbal,2016,train
-0.3127917,30.652418,21 San Cristóbal,2017,train
-0.4118154,32.265846,21 San Cristóbal,2018,train
-0.32017004,30.772629,21 San Cristóbal,2019,train
-0.34440565,31.167519,21 San Cristóbal,2020,val
-0.34630704,31.198498,21 San Cristóbal,2021,val
-0.10182059,27.21501,22 San Juan,2015,train
-0.21269166,29.021473,22 San Juan,2016,train
-0.024131656,25.94922,22 San Juan,2017,train
0.0024404526,25.516262,22 San Juan,2018,train
0.006170988,25.455467,22 San Juan,2019,train
