z1,z2,z3,z4,z5,z6,z7,z8,province,year,split
-0.18465403,0.1595733,1.3421243,-0.0010323687,-0.21010861,-0.3581672,-0.6584065,-0.5349944,21 San Cristóbal,2020,val
-1.5804142,-0.07260631,0.8293101,-0.18644162,-0.046576824,-0.6420855,0.16877235,-0.46563512,21 San Cristóbal,2021,val
-0.094807036,-0.38302594,-0.81575423,1.0766631,-0.8309964,0.8300516,0.4782888,1.3336551,22 San Juan,2015,train
0.9924787,-0.14846945,0.10347775,0.23789829,-2.0675128,-0.25834996,-1.6667792,0.48492932,22 San Juan,2016,train
-0.12082972,0.4466763,0.12699507,0.8074565,-0.29239148,-1.9203372,-0.9605264,1.2016739,22 San Juan,2017,train
-1.4585603,0.44770476,-1.2717118,0.93593705,-0.27987856,-0.7977404,0.3163592,2.1071792,22 San Juan,2018,train
-0.33325532,-1.0050821,-0.6693394,-0.29159623,-0.83116734,-0.79496044,-0.37446693,2.0876565,22 San Juan,2019,train
0.34326524,0.6195337,0.36463392,0.5091083,-0.4452991,-1.1830626,-0.71842414,1.2477797,22 San Juan,2020,val
-0.6849674,0.8792646,-0.44429728,1.1668013,-0.07430586,-0.42136225,-0.8570721,1.5547537,22 San Juan,2021,val
0.24223766,-0.4337443,0.012242223,0.31634456,0.16726072,0.7772003,1.4933972,-1.1390406,23 San Pedro de Macorís,2015,train
1.0559946,-0.54882187,0.82986313,-0.52855295,-0.4958197,-0.5162078,0.22038655,-1.6790459,23 San Pedro de Macorís,2016,train
-0.014211249,0.12304861,0.4119026,-0.20468879,0.5780193,-0.98374146,0.08322297,-1.1848668,23 San Pedro de Macorís,2017,train
-0.91750914,-0.06560268,-1.0684476,0.117590986,0.30997154,0.120341,0.51750815,-1.0546411,23 San Pedro de Macorís,2018,train
-0.17903234,-0.8979485,-0.18526708,-0.8755685,0.03128604,-0.21170987,0.60628456,-0.5092667,23 San Pedro de Macorís,2019,train
0.9601192,-0.0075813564,-0.030283926,0.156093,0.10477495,-0.17682455,-0.74651104,-1.3230343,23 San Pedro de Macorís,2020,val
-0.7671003,-0.1759395,-0.5442442,-0.58635974,0.18063532,-0.7532715,0.36092976,-1.2655813,23 San Pedro de Macorís,2021,val
0.035707258,0.014337512,0.3524227,0.56051385,0.17894344,1.403696,0.050427265,1.299373,24 Sánchez Ramírez,2015,train
0.48458594,0.6797485,1.0786861,0.4049355,-0.4204439,0.29602286,-0.90665525,0.5041828,24 Sánchez Ramírez,2016,train
-0.940957,0.81844974,0.5380519,0.038890284,-0.5676154,0.04692135,-1.3786112,0.4946377,24 Sánchez Ramírez,2017,train
-1.0027013,0.95298475,-0.028357206,0.9457782,0.4807761,1.0271546,-0.5617112,0.77339983,24 Sánchez Ramírez,2018,train
-0.5398562,-0.2559945,0.31992584,-0.23813416,-0.2099022,0.40709615,-0.34640247,1.1363618,24 Sánchez Ramírez,2019,train
-0.025402691,0.46417966,0.7229407,-0.29467946,-0.28605956,0.06008945,-1.7153023,0.5429043,24 Sánchez Ramírez,2020,val
-1.1239206,1.8203734,0.1311328,0.7754686,0.8038414,0.43190712,-0.77567863,0.72562796,24 Sánchez Ramírez,2021,val
0.52590317,-0.030855821,0.8221842,0.4899158,0.7176931,0.39375997,1.3552877,1.6158873,25 Santiago,2015,train
1.2569097,0.3776648,1.7324092,0.25714085,0.40188614,-1.1918046,-0.24884106,0.6306942,25 Santiago,2016,train
-1.1406021,-0.21795133,0.9622527,-0.5338108,0.34971213,-1.5510632,-0.89530665,0.8112876,25 Santiago,2017,train
-1.4132311,0.9209635,0.28704077,0.69342864,1.094907,-0.22262442,0.4982551,1.3959595,25 Santiago,2018,train
-0.3482155,-0.44064757,0.31332698,-0.62768364,0.29281113,-0.4359917,0.19609937,2.1410038,25 Santiago,2019,train
-0.06316114,0.47039536,1.3209732,-0.46581146,0.328586,-0.9775866,-0.39065138,1.0114181,25 Santiago,2020,val
