trial,val_r2,val_mse,hidden_dims,monotone,pre_bottleneck,shallow_decoder,use_batchnorm,scheduler,optimizer,clip_norm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
84,0.8787,0.012999,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000819,0.273,1e-07,128,elu,0.536,19482450,595
154,0.8783,0.013044,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000619,0.346,8.7e-06,128,elu,0.378,19482450,546
61,0.8783,0.013048,"[2048, 2048, 1024, 512]",True,128.0,False,True,plateau,adamw,0.0,0.000605,0.288,1e-07,128,elu,0.179,20403026,597
88,0.8782,0.013062,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000383,0.049,2.4e-06,128,elu,0.577,19482450,310
163,0.8781,0.013069,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000703,0.441,1.64e-05,128,elu,0.518,19482450,441
14,0.878,0.013076,"[512, 512, 256, 256]",True,16.0,False,True,none,adamw,1.0,0.001339,0.107,4.5e-06,64,elu,0.102,2587506,502
185,0.8779,0.013085,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000633,0.004,1.17e-05,128,elu,0.482,4527698,259
129,0.8778,0.013106,"[2048, 512, 256]",True,64.0,False,True,plateau,adam,0.0,0.001074,0.216,3e-07,128,elu,0.302,9014482,639
90,0.8777,0.013107,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000635,0.3,2.57e-05,128,leakyrelu,0.642,19482450,720
23,0.8776,0.01312,"[1024, 512]",True,64.0,False,True,plateau,adam,0.0,0.001384,0.11,4.52e-05,64,elu,0.55,4427474,509
166,0.8771,0.01318,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.001081,0.17,2e-06,128,elu,0.511,19482450,333
109,0.8765,0.013239,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000401,0.182,2e-07,128,leakyrelu,0.418,19482450,357
78,0.8764,0.013248,"[2048, 1024, 1024]",True,32.0,False,True,plateau,adamw,0.0,0.000471,0.194,2e-07,128,elu,0.393,12986514,631
186,0.876,0.013289,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,5.2e-05,0.01,6.1e-06,128,elu,0.548,4527698,714
192,0.876,0.013289,"[2048, 1024, 512]",True,,False,True,plateau,adam,0.0,0.000697,0.087,8.6e-06,128,elu,0.305,11874898,313
70,0.8753,0.013373,"[2048, 2048, 2048, 2048]",True,128.0,False,True,plateau,adamw,0.0,0.000888,0.176,6e-07,128,elu,0.662,32345938,391
111,0.8752,0.013382,"[1024, 512, 256]",True,128.0,False,False,none,adamw,0.0,0.000296,0.293,4e-07,32,elu,0.477,4684626,493
46,0.8752,0.013383,"[512, 512]",False,64.0,False,True,cosine_wr,adam,0.0,0.000804,0.32,1.53e-05,64,elu,0.36,2249426,418
135,0.875,0.0134,"[2048, 2048, 1024]",True,32.0,False,True,plateau,adam,0.0,0.000359,0.43,5.5e-06,128,elu,0.353,19284114,732
77,0.8748,0.013425,"[1024, 1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000708,0.154,9e-07,128,elu,0.491,6630994,476
17,0.8748,0.013425,[256],False,,False,True,none,adam,5.0,0.002383,0.235,1e-07,64,elu,0.345,831570,419
97,0.8744,0.013461,"[2048, 1024, 256]",True,128.0,False,True,plateau,adam,0.0,0.000868,0.127,1e-07,128,elu,0.353,11410770,372
48,0.8741,0.0135,[256],False,,False,False,none,adam,1.0,0.003796,0.147,3.33e-05,64,relu,0.524,830546,288
168,0.8741,0.013493,"[1024, 1024, 128]",True,32.0,False,True,cosine_wr,adamw,0.0,0.00083,0.116,1.1e-05,128,leakyrelu,0.546,5684114,444
79,0.8736,0.013548,"[512, 512, 256]",True,128.0,False,True,plateau,adamw,0.0,0.000289,0.262,5e-07,128,leakyrelu,0.548,2514258,632
19,0.8735,0.013565,"[1024, 256]",True,,True,True,none,adam,5.0,0.001769,0.209,1.7e-06,128,relu,0.695,1929498,914
158,0.8734,0.013577,"[2048, 2048, 256]",True,128.0,False,False,plateau,adamw,0.0,0.000522,0.411,1e-07,128,elu,0.484,16117586,596
31,0.8728,0.01364,[128],False,,False,True,none,adam,1.0,0.000169,0.206,2e-06,128,relu,0.658,416594,1000
131,0.8721,0.013709,"[2048, 1024]",True,16.0,False,True,plateau,adam,0.0,0.000252,0.072,2e-07,128,leakyrelu,0.595,10850162,630
15,0.872,0.013722,"[128, 512]",False,128.0,False,True,plateau,adamw,0.0,0.000611,0.435,0.0001242,64,elu,0.732,682578,480
33,0.8712,0.013814,"[1024, 512]",False,,False,False,cosine_wr,adamw,1.0,0.000237,0.082,7.4e-06,128,relu,0.484,4360786,489
34,0.8703,0.013906,"[2048, 256, 256]",False,32.0,False,True,none,adamw,1.0,0.001021,0.031,9e-07,32,relu,0.506,7816338,290
50,0.8703,0.013902,[128],True,16.0,False,True,plateau,adam,5.0,0.002221,0.335,1.2e-06,64,elu,0.582,419442,438
25,0.8699,0.013944,"[2048, 512, 512]",True,8.0,False,True,plateau,adam,0.0,0.001311,0.12,2e-07,64,elu,0.599,9252578,427
32,0.8699,0.013947,[1024],False,32.0,False,True,none,adamw,1.0,0.000116,0.244,2e-07,128,relu,0.578,3375250,1000
101,0.8697,0.013973,"[2048, 2048, 1024, 256]",True,16.0,False,True,plateau,adamw,0.0,0.000746,0.294,0.0027032,128,elu,0.496,19752306,491
71,0.8695,0.013989,"[2048, 2048, 1024]",True,128.0,True,True,plateau,adamw,0.0,0.001152,0.276,5.5e-06,128,elu,0.134,9751706,1000
110,0.8692,0.014021,"[2048, 1024, 128]",True,128.0,False,True,plateau,adamw,1.0,0.000477,0.251,3e-07,128,relu,0.54,11115090,409
164,0.8685,0.014093,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.001953,0.45,2.58e-05,128,elu,0.53,19482450,465
148,0.8683,0.014123,"[2048, 1024, 256]",True,32.0,False,True,plateau,adamw,0.0,0.000668,0.446,3.6e-06,128,elu,0.516,11359890,501
197,0.8666,0.014297,"[2048, 1024, 512]",True,8.0,False,True,plateau,adam,0.0,0.000971,0.225,2e-07,128,elu,0.497,11877090,326
140,0.8663,0.014336,"[2048, 128, 512]",False,64.0,False,True,none,adam,0.0,0.00297,0.38,1.89e-05,64,elu,0.574,7342546,228
13,0.8661,0.014355,"[256, 512, 256]",False,64.0,False,True,none,adam,0.0,0.004828,0.164,1.9e-05,64,elu,0.475,1391314,390
49,0.866,0.014371,"[256, 256, 512]",False,32.0,False,True,none,adamw,0.0,0.00032,0.039,0.0002143,128,leakyrelu,0.894,1259666,428
43,0.8658,0.014389,"[2048, 1024, 256, 128]",True,64.0,False,True,cosine_wr,adamw,0.0,0.002079,0.082,0.0010081,64,leakyrelu,0.53,11426770,333
136,0.8653,0.014442,"[1024, 1024, 128]",True,128.0,False,True,plateau,adam,0.0,0.000301,0.443,1.23e-05,128,relu,0.386,5710418,581
130,0.8649,0.014488,"[2048, 2048, 1024]",True,8.0,False,False,plateau,adam,0.0,0.000459,0.28,1e-07,64,elu,0.341,19214018,470
38,0.8646,0.014519,[2048],False,,True,False,cosine_wr,adam,5.0,0.002425,0.31,4e-07,128,selu,0.835,3327002,1000
41,0.8637,0.014615,"[256, 256]",False,16.0,False,False,none,adamw,5.0,0.000121,0.141,0.0038435,32,relu,0.646,967474,1000
27,0.863,0.014692,"[256, 128, 512, 256, 512]",False,128.0,True,False,plateau,adamw,0.0,0.003305,0.13,4.07e-05,64,selu,0.695,852506,931
196,0.8626,0.014733,"[2048, 2048, 1024]",True,,False,True,plateau,adam,0.0,9e-05,0.076,1.26e-05,128,elu,0.33,19230290,367
28,0.8622,0.014769,"[1024, 256, 256, 256]",True,64.0,False,True,none,adam,0.0,0.000499,0.378,8e-07,64,leakyrelu,0.321,4134098,538
86,0.8617,0.014831,"[2048, 1024, 512]",True,8.0,False,True,plateau,adamw,0.0,0.000523,0.26,6.9e-05,128,elu,0.465,11877090,263
