z1,z2,z3,province,year,split
0.8657686,1.1859511,1.6601193,04 Barahona,2019,train
-1.0457637,-0.44798088,1.2166207,04 Barahona,2020,val
-0.45623702,-0.5206659,0.50857407,04 Barahona,2021,val
-0.52822334,-0.33123717,0.63110137,04 Barahona,2022,test
0.045001626,-0.38371316,0.7412047,04 Barahona,2023,test
2.895444,-0.45492545,0.036786303,05 Dajabón,2015,train
-1.1054457,-1.778037,0.6920265,05 Dajabón,2016,train
-0.93748313,-2.6422896,-0.4876908,05 Dajabón,2017,train
1.0110866,-2.1737444,-1.0060534,05 Dajabón,2018,train
1.8230616,-0.9791396,-0.21142475,05 Dajabón,2019,train
-0.48422778,-2.6056952,-0.24749334,05 Dajabón,2020,val
0.19407393,-2.2595267,-0.8467555,05 Dajabón,2021,val
0.20229746,-1.9990813,-0.66763115,05 Dajabón,2022,test
0.8092295,-1.4863801,-0.46956033,05 Dajabón,2023,test
1.6675016,2.9887197,0.6198385,06 Duarte,2015,train
-2.1023924,1.63807,0.27162337,06 Duarte,2016,train
-2.013391,0.04317538,-0.9287722,06 Duarte,2017,train
-0.44442612,0.73271143,-0.6026939,06 Duarte,2018,train
0.39422143,1.4603014,-0.2579686,06 Duarte,2019,train
-1.6782407,0.5245458,-0.23926459,06 Duarte,2020,val
-1.0920054,0.38716716,-0.9421823,06 Duarte,2021,val
-0.77736473,0.54016745,-0.821442,06 Duarte,2022,test
-0.36216253,0.18506722,-0.7893568,06 Duarte,2023,test
2.6010206,-0.59052634,-1.2851142,07 Elías Piña,2015,train
-0.93974704,-1.6855313,-0.64935154,07 Elías Piña,2016,train
-1.0143878,-2.6031027,-1.8451725,07 Elías Piña,2017,train
0.7529174,-2.066933,-2.0734756,07 Elías Piña,2018,train
1.4120343,-0.966861,-1.2901466,07 Elías Piña,2019,train
-0.6443708,-2.2326488,-1.3865683,07 Elías Piña,2020,val
-0.2517339,-2.1500008,-1.8312098,07 Elías Piña,2021,val
