z1,z2,z3,province,year,split
0.59073114,-0.2723533,2.6068244,29 Monte Plata,2015,train
3.1791735,-2.403293,-2.37377,29 Monte Plata,2016,train
1.1911136,-0.36710435,-2.0326352,29 Monte Plata,2017,train
0.33742952,-0.034853175,-0.4804063,29 Monte Plata,2018,train
0.5041575,0.41550526,0.95549476,29 Monte Plata,2019,train
1.5158614,-0.75319266,-2.728892,29 Monte Plata,2020,val
0.79137677,0.18570855,-0.9556363,29 Monte Plata,2021,val
-0.19860074,-1.4873742,2.9534626,30 Hato Mayor,2015,train
1.7233971,-3.1166182,-2.5393283,30 Hato Mayor,2016,train
-0.07784939,-0.7986008,-1.9893175,30 Hato Mayor,2017,train
-0.38093138,-0.20322658,-0.5027916,30 Hato Mayor,2018,train
-0.618555,-0.19232233,0.9268602,30 Hato Mayor,2019,train
-0.1362513,-1.2995132,-3.0256891,30 Hato Mayor,2020,val
-0.45107353,-0.026739717,-1.43114,30 Hato Mayor,2021,val
1.1989069,0.14456171,2.803922,31 San José de Ocoa,2015,train
3.135715,-1.3876622,-2.9098477,31 San José de Ocoa,2016,train
1.3996837,0.5890839,-1.7791526,31 San José de Ocoa,2017,train
1.0627818,0.80077755,-0.40343726,31 San José de Ocoa,2018,train
1.0175714,1.1231892,0.72821486,31 San José de Ocoa,2019,train
2.1469843,-0.22023663,-2.2640746,31 San José de Ocoa,2020,val
1.0812103,0.6183506,-1.0064745,31 San José de Ocoa,2021,val
7.202118,0.0024151355,5.3565526,32 Santo Domingo,2015,train
9.929471,-2.6208112,-0.38625446,32 Santo Domingo,2016,train
8.274591,-1.3762642,0.26487648,32 Santo Domingo,2017,train
7.644142,-0.8433268,2.406031,32 Santo Domingo,2018,train
7.804229,-0.18799439,3.9752884,32 Santo Domingo,2019,train
8.819621,-1.8237479,-0.46482742,32 Santo Domingo,2020,val
8.2077265,-0.7409847,1.6150296,32 Santo Domingo,2021,val
