z1,z2,z3,province,year,split
-1.8089145,-0.84644705,0.73794585,07 Elías Piña,2021,val
-1.5357642,-0.24462666,0.9655319,07 Elías Piña,2022,test
-2.5283618,0.21257485,0.81423825,07 Elías Piña,2023,test
0.4758045,1.4086508,-4.867277,08 El Seibo,2015,train
4.1851125,-3.0042434,-1.5303202,08 El Seibo,2016,train
1.1951904,-1.5836357,-1.8698176,08 El Seibo,2017,train
1.0556285,-0.627579,-2.342573,08 El Seibo,2018,train
0.015824884,0.5339443,-2.5165029,08 El Seibo,2019,train
2.1561906,-2.238237,-1.1558509,08 El Seibo,2020,val
0.8279795,-1.561401,-1.892523,08 El Seibo,2021,val
0.96406126,-0.9031294,-1.2379427,08 El Seibo,2022,test
0.24898385,-0.43090516,-1.904544,08 El Seibo,2023,test
0.37775785,4.313652,-2.3438199,09 Espaillat,2015,train
3.6428163,-1.0520763,0.33179474,09 Espaillat,2016,train
2.9189208,0.13341065,-0.23446073,09 Espaillat,2017,train
2.596602,1.3245261,-1.3110923,09 Espaillat,2018,train
0.20396253,1.6884745,-0.89508593,09 Espaillat,2019,train
2.4940996,-0.75889117,0.10105987,09 Espaillat,2020,val
2.1192327,0.7344744,-0.26326865,09 Espaillat,2021,val
1.2602406,0.8287991,-0.16146256,09 Espaillat,2022,test
0.20787218,0.7699815,-0.48271817,09 Espaillat,2023,test
-4.2241197,0.39370716,-2.4158626,10 Independencia,2015,train
1.01989,-3.7489228,-0.024343945,10 Independencia,2016,train
-2.6863997,-5.391051,-0.60768795,10 Independencia,2017,train
-3.3504024,-3.034609,-1.6112329,10 Independencia,2018,train
-2.7134602,0.13635275,-1.2640276,10 Independencia,2019,train
-0.948251,-3.4806442,-0.08100122,10 Independencia,2020,val
-1.7975043,-2.1918528,-0.9320812,10 Independencia,2021,val
-2.1553159,-2.7521932,-0.42664522,10 Independencia,2022,test
-2.8772452,-1.4687153,-1.3126582,10 Independencia,2023,test
1.3137969,1.0399345,-6.4140196,11 La Altagracia,2015,train
4.8646307,-3.6660233,-3.0620546,11 La Altagracia,2016,train
2.2933035,-1.7192203,-2.5862715,11 La Altagracia,2017,train
2.1329064,-0.7103743,-3.7427685,11 La Altagracia,2018,train
0.5695774,0.4282878,-3.5791695,11 La Altagracia,2019,train
2.90197,-2.665493,-1.9817541,11 La Altagracia,2020,val
1.823356,-1.1524327,-2.7824795,11 La Altagracia,2021,val
1.7800841,-1.2839565,-2.0266716,11 La Altagracia,2022,test
0.91503745,-0.6724111,-2.9969687,11 La Altagracia,2023,test
-0.90775025,1.2317481,-4.7111745,12 La Romana,2015,train
2.8812025,-2.835288,-1.2007085,12 La Romana,2016,train
1.7669275,-1.6827464,-2.0170524,12 La Romana,2017,train
1.0631253,-0.8327036,-2.7210674,12 La Romana,2018,train
0.07026621,0.5830831,-2.8606882,12 La Romana,2019,train
2.2248359,-2.5844746,-1.188431,12 La Romana,2020,val
1.088634,-0.98138624,-1.891099,12 La Romana,2021,val
1.396607,-1.1941004,-1.2590154,12 La Romana,2022,test
0.46183306,-0.6547291,-2.3713653,12 La Romana,2023,test
