z1,z2,z3,province,year,split
0.13482237,-1.0656433,0.12272477,19 Hermanas Mirabal,2018,train
-1.0462494,-0.6934453,0.10009064,19 Hermanas Mirabal,2019,train
3.182981,-1.5051934,0.29272833,19 Hermanas Mirabal,2020,val
1.1030384,-1.7039214,-0.54185474,19 Hermanas Mirabal,2021,val
-0.48733878,1.3302027,2.089807,20 Samaná,2015,train
4.156141,1.2301164,3.5874941,20 Samaná,2016,train
2.8985224,-0.39016584,0.506297,20 Samaná,2017,train
0.7618106,0.007489279,0.5717033,20 Samaná,2018,train
0.11277776,0.54753125,1.390045,20 Samaná,2019,train
4.0521536,0.3038141,1.4326478,20 Samaná,2020,val
1.5259264,-0.2536134,0.14435059,20 Samaná,2021,val
-1.4658453,-0.05438611,1.9364533,21 San Cristóbal,2015,train
3.3337748,-0.69714653,4.666765,21 San Cristóbal,2016,train
2.3460705,-1.7559497,1.2924454,21 San Cristóbal,2017,train
0.11933317,-0.9485653,1.2476794,21 San Cristóbal,2018,train
-0.74623156,-0.3960877,1.9075094,21 San Cristóbal,2019,train
3.4346285,-1.1020999,2.5845892,21 San Cristóbal,2020,val
0.6562524,-1.4750947,1.1627533,21 San Cristóbal,2021,val
-1.8450192,-0.7440498,-0.004461944,22 San Juan,2015,train
3.62558,-2.3269792,0.58653903,22 San Juan,2016,train
1.9179689,-3.008541,-2.1978343,22 San Juan,2017,train
-0.57889265,-1.9727173,-1.8121488,22 San Juan,2018,train
-1.5826988,-1.3011212,-1.0032177,22 San Juan,2019,train
2.5122492,-2.6858385,-1.2829441,22 San Juan,2020,val
0.5474305,-2.3047347,-1.594788,22 San Juan,2021,val
-0.4791417,1.8402166,1.2047067,23 San Pedro de Macorís,2015,train
5.173042,2.0633774,2.4299984,23 San Pedro de Macorís,2016,train
3.2270513,-0.16730592,-0.93324864,23 San Pedro de Macorís,2017,train
0.83268327,0.20315664,-0.5181627,23 San Pedro de Macorís,2018,train
-0.30889392,0.82467616,0.117038876,23 San Pedro de Macorís,2019,train
4.972812,0.50818646,-0.65817046,23 San Pedro de Macorís,2020,val
1.879183,-0.030783296,-0.80109215,23 San Pedro de Macorís,2021,val
-1.7759789,-0.44830993,1.015972,24 Sánchez Ramírez,2015,train
3.658364,-1.9648857,2.5057008,24 Sánchez Ramírez,2016,train
2.1182492,-2.2988327,0.31422222,24 Sánchez Ramírez,2017,train
-0.027293965,-1.3214821,0.18426168,24 Sánchez Ramírez,2018,train
-1.0755411,-0.8099903,0.54783714,24 Sánchez Ramírez,2019,train
3.3408375,-1.775533,0.77643025,24 Sánchez Ramírez,2020,val
0.852708,-2.0270631,-0.34523216,24 Sánchez Ramírez,2021,val
-2.715917,-1.0094796,0.88395,25 Santiago,2015,train
3.3957388,-3.6681879,2.2772992,25 Santiago,2016,train
1.037559,-3.498213,0.5273655,25 Santiago,2017,train
-0.8336687,-2.5154564,0.15479037,25 Santiago,2018,train
-2.1009011,-1.9010658,-0.011711791,25 Santiago,2019,train
1.7095302,-3.5284996,1.5652364,25 Santiago,2020,val
-0.14096402,-3.1979113,0.7383001,25 Santiago,2021,val
-2.2312503,0.4237625,-1.2537583,26 Santiago Rodríguez,2015,train
5.1441064,-1.208783,-1.758333,26 Santiago Rodríguez,2016,train
2.670772,-1.8032649,-2.668949,26 Santiago Rodríguez,2017,train
-0.1465744,-0.97367895,-2.906933,26 Santiago Rodríguez,2018,train
-1.5712614,-0.19532855,-1.8018231,26 Santiago Rodríguez,2019,train
2.6171048,-1.4613179,-2.7149246,26 Santiago Rodríguez,2020,val
0.99805015,-1.365767,-2.7090998,26 Santiago Rodríguez,2021,val
-2.26452,0.6472748,-0.9019804,27 Valverde,2015,train
5.8346696,-1.0364546,-1.2441401,27 Valverde,2016,train
2.104095,-1.51828,-2.0141017,27 Valverde,2017,train
-0.1049339,-0.80675024,-1.9758434,27 Valverde,2018,train
-1.575886,-0.1303083,-1.5583202,27 Valverde,2019,train
3.197321,-1.3249358,-2.5321102,27 Valverde,2020,val
0.89600796,-1.2658678,-2.2649386,27 Valverde,2021,val
-1.7358855,-0.42061,0.8578944,28 Monseñor Nouel,2015,train
3.658362,-2.0082405,2.0865133,28 Monseñor Nouel,2016,train
1.7001278,-2.5068655,0.06162201,28 Monseñor Nouel,2017,train
0.090710714,-1.4259114,-0.30278257,28 Monseñor Nouel,2018,train
-1.1515911,-0.8947149,0.32964194,28 Monseñor Nouel,2019,train
2.7484708,-1.8461912,0.56462556,28 Monseñor Nouel,2020,val
0.5836074,-2.0308385,-0.23858842,28 Monseñor Nouel,2021,val
-1.305527,0.07612769,0.80190074,29 Monte Plata,2015,train
3.9845655,-0.4922825,2.9604585,29 Monte Plata,2016,train
2.865697,-2.0650718,-0.8193027,29 Monte Plata,2017,train
0.45327973,-0.8865365,-0.6867299,29 Monte Plata,2018,train
-0.9076824,-0.43615478,0.1819253,29 Monte Plata,2019,train
