z1,z2,z3,z4,z5,province,year,split
0.75826937,1.5838723,-0.48372847,0.92865807,-0.037565816,13 La Vega,2017,train
-0.4318218,0.6934575,-0.7189426,1.9319124,-0.70175755,13 La Vega,2018,train
-0.45888484,1.3438032,0.34862006,0.12709208,-1.0645583,13 La Vega,2019,train
0.6246025,1.8165483,-0.4995478,0.22954248,0.16143489,13 La Vega,2020,val
0.096071064,1.133478,-0.6364005,1.5440122,-0.111930214,13 La Vega,2021,val
-0.52235776,-0.17281461,-0.55001503,-0.22055921,-1.9812073,14 María Trinidad Sánchez,2015,train
1.4672585,0.9373588,-0.519774,-0.67395884,-0.2705104,14 María Trinidad Sánchez,2016,train
1.9881239,0.33440295,0.2965688,0.8077628,-0.025850328,14 María Trinidad Sánchez,2017,train
0.6989089,-0.8510622,-0.020810612,1.9745096,-1.0853254,14 María Trinidad Sánchez,2018,train
0.4970054,0.1385805,0.33453006,-0.034741137,-1.4366734,14 María Trinidad Sánchez,2019,train
1.4677626,0.44426498,-0.27412394,-0.020728145,-0.3001341,14 María Trinidad Sánchez,2020,val
1.1297446,-0.062927336,-0.069175325,1.1922442,-0.4531409,14 María Trinidad Sánchez,2021,val
-1.1693543,-2.15891,-0.29652902,-1.3806665,0.1261067,15 Monte Cristi,2015,train
0.60288167,-1.2339085,-0.24441375,-1.8696966,1.8780257,15 Monte Cristi,2016,train
1.170397,-1.4310666,0.6163056,-0.33855662,1.4802067,15 Monte Cristi,2017,train
-0.37793526,-2.4579024,-0.19018772,0.28467253,1.1250532,15 Monte Cristi,2018,train
-0.20691115,-1.3572133,0.8717052,-1.0731909,0.1287098,15 Monte Cristi,2019,train
0.82545114,-1.4345604,0.30094975,-0.9048924,1.9094522,15 Monte Cristi,2020,val
0.14164492,-1.891836,-0.03935463,0.20155217,1.5568027,15 Monte Cristi,2021,val
-1.5599738,-2.0418622,0.22401252,-1.6773454,0.5042899,16 Pedernales,2015,train
0.93821406,-0.62292683,1.1155461,-2.4783983,2.3873892,16 Pedernales,2016,train
0.66536194,-1.442249,2.4751241,-0.4206413,2.3763556,16 Pedernales,2017,train
-1.0433097,-1.965616,1.4758825,-0.1400688,1.5741805,16 Pedernales,2018,train
-0.5086531,-0.86433524,1.9245088,-1.7176048,0.6525021,16 Pedernales,2019,train
0.64743155,-0.602853,1.0886759,-1.6380998,1.8740042,16 Pedernales,2020,val
0.17658857,-1.598545,1.9467105,-0.0143826725,1.7899967,16 Pedernales,2021,val
-1.0449594,-0.43052068,-0.63036114,-0.2647427,-1.1692498,17 Peravia,2015,train
0.7752283,0.8487256,-0.44043833,-0.9614533,0.20769885,17 Peravia,2016,train
0.5599424,0.25764307,-0.13555866,0.37416917,0.76843035,17 Peravia,2017,train
-0.36901763,-0.8812067,-0.34046003,1.4936496,0.31763786,17 Peravia,2018,train
-0.23943143,0.1708028,0.4466522,-0.2866359,-0.7333336,17 Peravia,2019,train
0.67070407,0.20206404,-0.25403967,0.029960163,1.0407612,17 Peravia,2020,val
-0.014055584,-0.12504241,-0.513028,0.6699954,0.44912985,17 Peravia,2021,val
-0.7444229,-1.2508891,-0.9264186,-0.621702,-1.3603586,18 Puerto Plata,2015,train
1.1627074,-0.2190963,-0.77875006,-0.99134547,0.43071014,18 Puerto Plata,2016,train
1.8198167,-0.56044453,0.18033034,0.52722937,0.3761907,18 Puerto Plata,2017,train
0.3408225,-2.0347726,-0.05221007,1.9648578,-0.24272235,18 Puerto Plata,2018,train
0.18497567,-0.6368493,0.13869815,-0.2276491,-0.89960015,18 Puerto Plata,2019,train
1.3705055,-0.43829283,-0.45115492,-0.21138476,0.2585757,18 Puerto Plata,2020,val
0.81319773,-0.8792712,-0.51715493,0.92573327,0.14916731,18 Puerto Plata,2021,val
-1.3424114,0.5257546,-0.5952783,-0.26078844,-1.9045385,19 Hermanas Mirabal,2015,train
1.0513546,1.7776984,-0.32752663,-0.74464214,0.36288914,19 Hermanas Mirabal,2016,train
1.3928311,1.2622931,0.3706339,0.8071692,-0.064166434,19 Hermanas Mirabal,2017,train
0.04541406,0.32400405,-0.30041915,1.8855158,-0.9010304,19 Hermanas Mirabal,2018,train
-0.102938235,0.9552754,0.5901218,0.18215904,-1.2308071,19 Hermanas Mirabal,2019,train
1.1449704,1.4348931,0.1672769,0.35409176,0.26404646,19 Hermanas Mirabal,2020,val
0.573025,0.48787495,0.6791777,1.7744886,-0.46675697,19 Hermanas Mirabal,2021,val
-0.5755932,-0.7042392,-0.5848492,-0.4205146,-1.6315492,20 Samaná,2015,train
1.4848233,0.4232682,-0.3973806,-0.8993974,0.0028223183,20 Samaná,2016,train
1.7750268,0.025691766,0.19744305,0.6558885,-0.015256481,20 Samaná,2017,train
0.6496991,-1.0415595,-0.051428672,1.8249232,-0.7942169,20 Samaná,2018,train
0.4905781,-0.1785541,0.37012103,0.036881983,-1.3376348,20 Samaná,2019,train
2.030347,-0.14003782,0.41323325,0.4268382,0.45752186,20 Samaná,2020,val
1.058064,-1.122564,0.7772291,2.0811665,-0.18980902,20 Samaná,2021,val
-0.89206594,-0.062725134,-0.9454647,-0.099092744,-1.4063624,21 San Cristóbal,2015,train
1.100954,1.1644123,-0.91281706,-0.8327716,-0.025281474,21 San Cristóbal,2016,train
1.1937965,0.5609023,-0.5642029,0.7282042,0.24786422,21 San Cristóbal,2017,train
0.22708821,-0.33530074,-0.83756685,1.6206821,-0.6228586,21 San Cristóbal,2018,train
0.22838572,0.32959455,-0.06667899,0.11188113,-1.3323864,21 San Cristóbal,2019,train
1.2274411,0.8305685,-0.86289597,0.02609682,0.30088884,21 San Cristóbal,2020,val
0.5265325,0.10745593,-0.9920254,1.126245,-0.058464125,21 San Cristóbal,2021,val
-1.4172666,0.813152,-0.38451165,-0.06802948,-1.1823974,22 San Juan,2015,train
0.996734,2.3080492,0.17557734,-0.8250749,0.33954954,22 San Juan,2016,train
