prov_A,prov_B,similarity
05 Dajabón,12 La Romana,0.5861
14 María Trinidad Sánchez,31 San José de Ocoa,0.5859
07 Elías Piña,09 Espaillat,0.5853
15 Monte Cristi,22 San Juan,0.5838
03 Baoruco,14 María Trinidad Sánchez,0.581
12 La Romana,22 San Juan,0.5804
05 Dajabón,09 Espaillat,0.5785
02 Azua,29 Monte Plata,0.5763
08 El Seibo,26 Santiago Rodríguez,0.5762
07 Elías Piña,24 Sánchez Ramírez,0.5752
07 Elías Piña,23 San Pedro de Macorís,0.5745
07 Elías Piña,31 San José de Ocoa,0.5742
09 Espaillat,15 Monte Cristi,0.5735
26 Santiago Rodríguez,27 Valverde,0.5735
10 Independencia,32 Santo Domingo,0.5719
24 Sánchez Ramírez,27 Valverde,0.5717
08 El Seibo,12 La Romana,0.5712
28 Monseñor Nouel,31 San José de Ocoa,0.5711
05 Dajabón,23 San Pedro de Macorís,0.5703
04 Barahona,11 La Altagracia,0.5684
06 Duarte,26 Santiago Rodríguez,0.5683
15 Monte Cristi,25 Santiago,0.5675
15 Monte Cristi,31 San José de Ocoa,0.5671
03 Baoruco,31 San José de Ocoa,0.5662
02 Azua,07 Elías Piña,0.5653
13 La Vega,31 San José de Ocoa,0.5653
05 Dajabón,18 Puerto Plata,0.5652
11 La Altagracia,28 Monseñor Nouel,0.565
04 Barahona,24 Sánchez Ramírez,0.5644
04 Barahona,25 Santiago,0.5638
19 Hermanas Mirabal,31 San José de Ocoa,0.5634
04 Barahona,28 Monseñor Nouel,0.5628
08 El Seibo,24 Sánchez Ramírez,0.5613
03 Baoruco,18 Puerto Plata,0.5606
03 Baoruco,13 La Vega,0.5604
03 Baoruco,07 Elías Piña,0.5594
03 Baoruco,10 Independencia,0.559
03 Baoruco,19 Hermanas Mirabal,0.5571
02 Azua,09 Espaillat,0.5567
02 Azua,03 Baoruco,0.5567
07 Elías Piña,13 La Vega,0.5565
04 Barahona,13 La Vega,0.5563
04 Barahona,26 Santiago Rodríguez,0.5548
23 San Pedro de Macorís,30 Hato Mayor,0.5545
04 Barahona,15 Monte Cristi,0.5544
01 Distrito Nacional,17 Peravia,0.5543
03 Baoruco,23 San Pedro de Macorís,0.554
03 Baoruco,09 Espaillat,0.5537
05 Dajabón,13 La Vega,0.5534
06 Duarte,30 Hato Mayor,0.5533
17 Peravia,32 Santo Domingo,0.5497
05 Dajabón,25 Santiago,0.5486
11 La Altagracia,20 Samaná,0.5469
07 Elías Piña,26 Santiago Rodríguez,0.5439
07 Elías Piña,25 Santiago,0.5439
11 La Altagracia,26 Santiago Rodríguez,0.5436
26 Santiago Rodríguez,31 San José de Ocoa,0.5429
04 Barahona,14 María Trinidad Sánchez,0.5421
03 Baoruco,24 Sánchez Ramírez,0.5409
20 Samaná,31 San José de Ocoa,0.5409
04 Barahona,06 Duarte,0.5405
05 Dajabón,31 San José de Ocoa,0.5405
04 Barahona,19 Hermanas Mirabal,0.5382
12 La Romana,25 Santiago,0.5381
17 Peravia,21 San Cristóbal,0.538
13 La Vega,30 Hato Mayor,0.5379
07 Elías Piña,19 Hermanas Mirabal,0.5368
04 Barahona,09 Espaillat,0.5365
07 Elías Piña,27 Valverde,0.5356
07 Elías Piña,20 Samaná,0.5338
03 Baoruco,17 Peravia,0.5332
05 Dajabón,14 María Trinidad Sánchez,0.5311
07 Elías Piña,14 María Trinidad Sánchez,0.5298
03 Baoruco,26 Santiago Rodríguez,0.5267
02 Azua,30 Hato Mayor,0.5243
10 Independencia,15 Monte Cristi,0.5241
05 Dajabón,10 Independencia,0.5208
12 La Romana,19 Hermanas Mirabal,0.5198
11 La Altagracia,30 Hato Mayor,0.519
03 Baoruco,08 El Seibo,0.5181
29 Monte Plata,30 Hato Mayor,0.5158
03 Baoruco,27 Valverde,0.5154
01 Distrito Nacional,10 Independencia,0.5151
03 Baoruco,15 Monte Cristi,0.5148
12 La Romana,14 María Trinidad Sánchez,0.5141
15 Monte Cristi,20 Samaná,0.513
05 Dajabón,27 Valverde,0.5123
10 Independencia,29 Monte Plata,0.5118
10 Independencia,21 San Cristóbal,0.5111
02 Azua,17 Peravia,0.5085
08 El Seibo,30 Hato Mayor,0.5075
07 Elías Piña,15 Monte Cristi,0.5058
21 San Cristóbal,30 Hato Mayor,0.5056
27 Valverde,28 Monseñor Nouel,0.5054
15 Monte Cristi,27 Valverde,0.5014
04 Barahona,05 Dajabón,0.4978
10 Independencia,27 Valverde,0.4963
02 Azua,20 Samaná,0.4956
05 Dajabón,19 Hermanas Mirabal,0.494
06 Duarte,07 Elías Piña,0.4934
02 Azua,24 Sánchez Ramírez,0.4929
03 Baoruco,25 Santiago,0.4906
03 Baoruco,06 Duarte,0.4877
05 Dajabón,07 Elías Piña,0.4877
05 Dajabón,08 El Seibo,0.4876
02 Azua,28 Monseñor Nouel,0.4871
22 San Juan,30 Hato Mayor,0.4857
03 Baoruco,20 Samaná,0.4817
20 Samaná,30 Hato Mayor,0.4797
01 Distrito Nacional,30 Hato Mayor,0.4793
20 Samaná,27 Valverde,0.4784
05 Dajabón,06 Duarte,0.4725
12 La Romana,20 Samaná,0.4701
14 María Trinidad Sánchez,15 Monte Cristi,0.4694
18 Puerto Plata,30 Hato Mayor,0.4659
19 Hermanas Mirabal,30 Hato Mayor,0.4655
09 Espaillat,30 Hato Mayor,0.4646
