,01 Distrito Nacional,02 Azua,03 Baoruco,04 Barahona,05 Dajabón,06 Duarte,07 Elías Piña,08 El Seibo,09 Espaillat,10 Independencia,11 La Altagracia,12 La Romana,13 La Vega,14 María Trinidad Sánchez,15 Monte Cristi,16 Pedernales,17 Peravia,18 Puerto Plata,19 Hermanas Mirabal,20 Samaná,21 San Cristóbal,22 San Juan,23 San Pedro de Macorís,24 Sánchez Ramírez,25 Santiago,26 Santiago Rodríguez,27 Valverde,28 Monseñor Nouel,29 Monte Plata,30 Hato Mayor,31 San José de Ocoa,32 Santo Domingo
23 San Pedro de Macorís,0.7753922729009526,0.647105490862779,0.553953831168694,0.6272535904051002,0.5702730209997563,0.6960536228446326,0.5744620078559738,0.7294837979884242,0.7810525557877668,0.38262548236122984,0.7535664280192396,0.6921882715909181,0.7284516253873312,0.7034988113374144,0.5919304594416196,0.10345074516528144,0.34711066204094837,0.7825638235422198,0.7154115169384555,0.646793777813645,0.7761462642515415,0.7387753815231975,1.0000000000000016,0.7501284130792638,0.8014487489823966,0.6905912646294341,0.7184900715547412,0.701069148818961,0.7878534262558741,0.5544921507701733,0.70348241176241,0.8162180238258127
24 Sánchez Ramírez,0.7629060237984113,0.4929223178009532,0.5409431588541217,0.5644237790873861,0.6927104983630943,0.6602185571865133,0.5752062169834187,0.5612940733014339,0.7514239138364739,0.42766371994347574,0.614848265817798,0.6794475154467543,0.6881080299478154,0.6410372607131687,0.6408412667595871,0.06676525058063669,0.3592916852532361,0.729469721308087,0.712590816547145,0.7170279136268336,0.7289939329614108,0.7222718864447228,0.7501284130792638,0.9999999999999989,0.6570512221104777,0.713167501573221,0.5717336649302595,0.7715350499791074,0.7861970747897158,0.41355669989966926,0.5968978744172474,0.7786253049512268
25 Santiago,0.6874854077100441,0.6952809480516653,0.4906116349465444,0.563778615642821,0.5485547785433948,0.78733004192475,0.5439051196471935,0.6824627491484105,0.8228783575926215,0.36704478970200516,0.7572368462224791,0.5381398042117238,0.7774876591428274,0.7748472398734243,0.5675367055994003,0.09362960818647674,0.34491787371586563,0.8081333540613939,0.7747460458783412,0.67115013274878,0.7104187301510172,0.7602049711820734,0.8014487489823966,0.6570512221104777,0.9999999999999998,0.6586210901716426,0.7310029975459245,0.6362594123564823,0.759617338646798,0.6515377862654005,0.6813415433499307,0.7187988292761438
26 Santiago Rodríguez,0.6975115986990182,0.4517363643628644,0.5266719756822291,0.5547981917886566,0.6208490902222233,0.5683068675669222,0.543851909774306,0.5762170012328766,0.7019028716394144,0.4362724870946416,0.5435850054908882,0.6567786226932687,0.6856446938720344,0.6307722347521977,0.6353414528562796,0.11081410458157133,0.3287679830650048,0.7184689877268368,0.6600839691628572,0.6322124486630908,0.6741801786395578,0.7208568962035502,0.6905912646294341,0.713167501573221,0.6586210901716426,1.0000000000000042,0.5734627964500717,0.7089758713403365,0.6939708332575177,0.4006954781427372,0.542900876752668,0.727964502565192
27 Valverde,0.7420449383445553,0.7597364376437362,0.5154366173951207,0.7461484118187438,0.5123191598567801,0.6066498904692891,0.5356291408146865,0.685302632476573,0.6282468315786085,0.49625506801705066,0.7652387414612194,0.6452674086055061,0.6112830980177588,0.5869049355265116,0.5014390847779173,0.2128632845654649,0.4595934982286897,0.6480779465073195,0.590440883294142,0.478374750320042,0.7638893442025858,0.6989631201924944,0.7184900715547412,0.5717336649302595,0.7310029975459245,0.5734627964500717,0.999999999999998,0.5054037179882551,0.6574757315600733,0.4611461926903258,0.6572736892259424,0.7925451014426143
28 Monseñor Nouel,0.7806571767601678,0.48709053773813016,0.6227422376315587,0.5628140194415319,0.6083108249504285,0.5970356270221641,0.6019864150790297,0.6024860704047723,0.7425967827299857,0.414135893819738,0.5650077437664482,0.6770040399130604,0.7305047575412331,0.632070365321017,0.5962557595364644,-0.00911609258752209,0.44590869670783917,0.7346360085134178,0.6786289888673979,0.6805737043503014,0.7442517124104728,0.6926829417939229,0.701069148818961,0.7715350499791074,0.6362594123564823,0.7089758713403365,0.5054037179882551,1.0000000000000024,0.7369269838127152,0.4239878382603087,0.5711124090832917,0.7930990503088943
29 Monte Plata,0.7763690416606619,0.5762982645544731,0.5869938606094484,0.6697470974990465,0.6985616789408159,0.6706599614890016,0.5896222771746211,0.6092964495740478,0.7287901360613984,0.5117714512075462,0.6291129336822423,0.6989268835116924,0.6828490180960923,0.6364694141304867,0.7092871662193699,0.05655721877556322,0.40491789964228925,0.7394932407130212,0.6523632096394926,0.6203336602883125,0.8017819469045284,0.7546959095213165,0.7878534262558741,0.7861970747897158,0.759617338646798,0.6939708332575177,0.6574757315600733,0.7369269838127152,0.999999999999996,0.5157894504340669,0.6977688609279203,0.821663319482986
30 Hato Mayor,0.4793127258766846,0.5242948541753533,0.2974770971402582,0.35393113142734717,0.3152462799554488,0.5532840554671459,0.3379531142189732,0.5075139846303266,0.46464839418229115,0.15362357242298022,0.5190334052599735,0.2287462612033289,0.5379397342461106,0.4289282358505293,0.2774839842914322,0.035575982766226664,0.23698331144797175,0.4659328324640747,0.465500854258556,0.47967510968081334,0.5056413364098454,0.4856815163652814,0.5544921507701733,0.41355669989966926,0.6515377862654005,0.4006954781427372,0.4611461926903258,0.4239878382603087,0.5157894504340669,0.9999999999999967,0.4519542885203556,0.4608407633057744
31 San José de Ocoa,0.6862928419217759,0.6338689129825833,0.5661839124219039,0.6587249139624832,0.5405026753389072,0.6154043687132027,0.574199828834919,0.5917906484355788,0.6422100210524171,0.4065969745566264,0.6535660892881486,0.637367136418532,0.5653252315073668,0.5858605778734757,0.567105850623782,0.10339563121548553,0.382029705711396,0.6502077566760422,0.5633812538745631,0.5409458273376476,0.7514444923801413,0.6931307393483588,0.70348241176241,0.5968978744172474,0.6813415433499307,0.542900876752668,0.6572736892259424,0.5711124090832917,0.6977688609279203,0.4519542885203556,0.9999999999999983,0.7521262080367043
32 Santo Domingo,0.9457896274264911,0.7213159230330202,0.7316840822126555,0.8231627201981289,0.6494527475806487,0.6522673794056567,0.7120831392974781,0.774973021626377,0.7296839506425529,0.571949300976798,0.7525893410995214,0.8567286637390599,0.7352900740874144,0.7140394104147622,0.668336864919829,0.14713870924097944,0.5496739919203084,0.7914645170346342,0.7316303086479394,0.6408727186401615,0.9424856205794759,0.8067064183478001,0.8162180238258127,0.7786253049512268,0.7187988292761438,0.727964502565192,0.7925451014426143,0.7930990503088943,0.821663319482986,0.4608407633057744,0.7521262080367043,1.0000000000000016
