z1,z2,z3,z4,z5,z6,z7,province,year,week,split
-15.950645,0.4639791,-0.884687,12.619196,2.1821513,-8.132333,1.3288778,01 Distrito Nacional,2016,27,train
-15.784284,2.1673303,-0.28559232,13.520158,-1.2593876,-5.3240714,1.3132178,01 Distrito Nacional,2016,28,train
-14.133779,0.82102376,-0.38933542,12.503278,0.11411612,-6.182907,1.9666088,01 Distrito Nacional,2016,29,train
-20.051638,3.2483144,3.63668,14.583981,0.6986803,-4.7808013,3.7805057,01 Distrito Nacional,2016,30,train
-14.624268,11.926524,-8.192545,12.589665,7.9850283,2.453875,18.839115,01 Distrito Nacional,2016,31,train
-13.614515,2.3346086,3.064861,12.530267,2.270858,-2.2114165,2.125969,01 Distrito Nacional,2016,32,train
-11.398072,-0.01864351,2.1553106,11.335207,-1.7587225,-2.8417296,-1.0516181,01 Distrito Nacional,2016,33,train
-24.675827,6.6016316,8.424267,13.919396,5.9939966,5.8196626,4.8000755,01 Distrito Nacional,2016,34,train
-5.9376307,-2.081954,7.886563,7.1239357,-3.7847753,4.2989902,4.53497,01 Distrito Nacional,2016,35,train
-6.479949,1.4981753,14.881789,10.942252,-2.551496,9.3988495,6.69772,01 Distrito Nacional,2016,36,train
-3.113106,0.15932348,11.906614,10.221342,-0.4026046,6.101296,3.0515184,01 Distrito Nacional,2016,37,train
-3.5418718,0.7477141,10.480024,10.137338,2.287799,4.9801188,3.469028,01 Distrito Nacional,2016,38,train
-6.4052763,0.4566126,17.462608,8.573041,-0.017028084,9.755638,3.700025,01 Distrito Nacional,2016,39,train
-14.26251,7.37035,0.5025355,2.561859,13.916572,14.180424,21.472334,01 Distrito Nacional,2016,40,train
-5.0191965,-4.285612,5.73325,3.5141943,4.8760448,5.2049117,5.647439,01 Distrito Nacional,2016,41,train
-8.777131,-5.768439,9.715016,0.61988413,7.8649154,7.675913,5.1330285,01 Distrito Nacional,2016,42,train
-4.3753567,-5.2333302,5.7109923,3.5618467,5.1603284,5.1664586,2.6703176,01 Distrito Nacional,2016,43,train
-2.98339,-6.09089,6.5723767,2.426816,6.008212,8.499735,3.5213952,01 Distrito Nacional,2016,44,train
-3.2785897,-6.133846,5.9191055,3.0150638,7.3581777,8.194124,2.6303985,01 Distrito Nacional,2016,45,train
-4.066199,-6.1407223,5.481766,2.1668134,10.656996,10.27478,2.6855104,01 Distrito Nacional,2016,46,train
-1.5849361,-7.748463,8.175349,0.7203481,9.343056,18.00985,-1.0523452,01 Distrito Nacional,2016,47,train
