z1,z2,z3,z4,z5,z6,province,year,week,split
-3.531959,4.2261186,3.7797787,0.29641816,-0.7743059,-5.9049735,01 Distrito Nacional,2019,21,train
-3.84427,2.9119568,4.261492,-0.42003036,0.11744921,-5.768216,01 Distrito Nacional,2019,22,train
-2.131707,2.73504,3.3991437,-0.8806551,-0.37797222,-3.791498,01 Distrito Nacional,2019,23,train
-0.34401745,3.4167829,2.5203655,-1.0996011,-1.355284,-3.3596475,01 Distrito Nacional,2019,24,train
-0.090673536,2.4402184,2.930131,-1.8291777,-1.2112818,-2.887518,01 Distrito Nacional,2019,25,train
1.5007751,1.8969108,3.718296,-2.2386189,-0.80851555,-3.7954714,01 Distrito Nacional,2019,26,train
4.553489,0.35186926,1.9801646,-7.600629,0.8763099,-1.5494087,01 Distrito Nacional,2019,27,train
3.623908,-1.7307795,1.983004,-7.784588,1.856981,-1.5692363,01 Distrito Nacional,2019,28,train
4.2849674,-1.6508005,2.1454546,-7.201352,1.6322054,-1.9552513,01 Distrito Nacional,2019,29,train
4.4575515,-1.5974627,2.3314784,-6.2064815,1.1924528,-2.0879557,01 Distrito Nacional,2019,30,train
-2.1798143,-7.07338,8.740579,-10.709158,5.1460667,-6.964874,01 Distrito Nacional,2019,31,train
4.0837817,-2.7375648,3.306497,-6.0921707,2.311147,-1.9654641,01 Distrito Nacional,2019,32,train
4.9326854,-2.3711855,2.671793,-5.898544,2.151726,-2.0580585,01 Distrito Nacional,2019,33,train
3.746219,-4.0198817,3.908499,-6.8800607,3.622001,-2.5043883,01 Distrito Nacional,2019,34,train
4.736416,-0.89610916,3.8573754,-1.9903541,0.9882642,-3.2222598,01 Distrito Nacional,2019,35,train
4.7877445,-0.9969964,3.7311912,-2.2605624,0.83085126,-5.368405,01 Distrito Nacional,2019,36,train
3.993824,-1.3363767,3.5225625,-2.305783,0.45366964,-4.4873223,01 Distrito Nacional,2019,37,train
-4.063324,-7.2799134,9.220333,-3.3666966,5.2494764,-10.3876705,01 Distrito Nacional,2019,38,train
2.4798064,-2.7759938,4.2115583,-1.3041103,1.6392616,-4.9464407,01 Distrito Nacional,2019,39,train
2.474571,-2.9429533,4.1596937,-0.58433366,2.802766,-4.429587,01 Distrito Nacional,2019,40,train
4.0710764,-2.0045822,1.9087503,0.049892638,2.0513155,-3.2343197,01 Distrito Nacional,2019,41,train
4.127729,-2.2039285,1.7417622,0.49330008,2.3412294,-3.3679268,01 Distrito Nacional,2019,42,train
2.7962089,-4.3034673,3.1172678,0.95817417,4.409804,-5.078625,01 Distrito Nacional,2019,43,train
