z1,z2,province,year,week,split
12.347581,3.96476,01 Distrito Nacional,2019,8,train
12.824266,3.4779193,01 Distrito Nacional,2019,9,train
13.833587,3.18311,01 Distrito Nacional,2019,10,train
13.984264,2.252366,01 Distrito Nacional,2019,11,train
14.701746,1.4547533,01 Distrito Nacional,2019,12,train
16.36018,-3.5636501,01 Distrito Nacional,2019,13,train
14.372798,-0.047615543,01 Distrito Nacional,2019,14,train
15.958145,-2.5739634,01 Distrito Nacional,2019,15,train
14.760174,-0.67334384,01 Distrito Nacional,2019,16,train
14.986006,-0.9006802,01 Distrito Nacional,2019,17,train
6.686271,-16.78906,01 Distrito Nacional,2019,18,train
5.6648026,-16.013468,01 Distrito Nacional,2019,19,train
5.8387423,-13.205523,01 Distrito Nacional,2019,20,train
6.0111647,-13.877779,01 Distrito Nacional,2019,21,train
5.9579763,-13.357541,01 Distrito Nacional,2019,22,train
3.3786194,-11.243701,01 Distrito Nacional,2019,23,train
0.30920932,-10.02205,01 Distrito Nacional,2019,24,train
0.007914272,-9.251831,01 Distrito Nacional,2019,25,train
-1.0225817,-9.21613,01 Distrito Nacional,2019,26,train
-12.310477,-7.2138414,01 Distrito Nacional,2019,27,train
-11.298987,-6.510018,01 Distrito Nacional,2019,28,train
-11.3257675,-6.882784,01 Distrito Nacional,2019,29,train
-11.28349,-7.0913773,01 Distrito Nacional,2019,30,train
-19.016571,10.175495,01 Distrito Nacional,2019,31,train
-10.707519,-6.459479,01 Distrito Nacional,2019,32,train
-10.809354,-6.6664634,01 Distrito Nacional,2019,33,train
-10.526439,-6.2178984,01 Distrito Nacional,2019,34,train
-3.1104004,-0.17711832,01 Distrito Nacional,2019,35,train
-2.784364,-0.16008319,01 Distrito Nacional,2019,36,train
-2.9266534,-0.19645308,01 Distrito Nacional,2019,37,train
-14.209954,11.951414,01 Distrito Nacional,2019,38,train
-3.29427,-0.13622294,01 Distrito Nacional,2019,39,train
-3.1033409,0.2230768,01 Distrito Nacional,2019,40,train
-2.5255013,0.81349176,01 Distrito Nacional,2019,41,train
-2.3690233,1.1106721,01 Distrito Nacional,2019,42,train
-2.0074809,1.3898528,01 Distrito Nacional,2019,43,train
-1.906864,1.5279467,01 Distrito Nacional,2019,44,train
-1.6939089,1.5857341,01 Distrito Nacional,2019,45,train
-1.6036854,1.7302605,01 Distrito Nacional,2019,46,train
-1.4421622,1.758251,01 Distrito Nacional,2019,47,train
-1.4113132,1.8188473,01 Distrito Nacional,2019,48,train
8.5030365,8.975884,01 Distrito Nacional,2019,49,train
8.509133,8.917713,01 Distrito Nacional,2019,50,train
8.536553,8.866147,01 Distrito Nacional,2019,51,train
6.7990575,11.831222,01 Distrito Nacional,2019,52,train
5.628357,12.875465,01 Distrito Nacional,2020,1,val
5.046219,12.899558,01 Distrito Nacional,2020,2,val
5.2524176,13.462532,01 Distrito Nacional,2020,3,val
6.014613,14.039119,01 Distrito Nacional,2020,4,val
11.492137,6.4280596,01 Distrito Nacional,2020,5,val
11.3138685,5.4799013,01 Distrito Nacional,2020,6,val
11.59549,4.562034,01 Distrito Nacional,2020,7,val
12.075464,4.854344,01 Distrito Nacional,2020,8,val
12.943794,3.8405335,01 Distrito Nacional,2020,9,val
12.738582,3.2438853,01 Distrito Nacional,2020,10,val
13.614221,2.4117763,01 Distrito Nacional,2020,11,val
13.810027,1.6024764,01 Distrito Nacional,2020,12,val
14.984487,-0.531776,01 Distrito Nacional,2020,13,val
15.945153,-1.0343935,01 Distrito Nacional,2020,14,val
16.237366,-4.557575,01 Distrito Nacional,2020,15,val
15.265894,-2.571011,01 Distrito Nacional,2020,16,val
14.988103,-2.6859193,01 Distrito Nacional,2020,17,val
7.5187078,-14.987473,01 Distrito Nacional,2020,18,val
7.021605,-13.673056,01 Distrito Nacional,2020,19,val
6.2612762,-13.295446,01 Distrito Nacional,2020,20,val
5.1268134,-12.324257,01 Distrito Nacional,2020,21,val
4.3422294,-11.97395,01 Distrito Nacional,2020,22,val
2.2952774,-10.421244,01 Distrito Nacional,2020,23,val
1.1686139,-9.8099575,01 Distrito Nacional,2020,24,val
0.17941973,-9.367367,01 Distrito Nacional,2020,25,val
-2.0952206,-9.427549,01 Distrito Nacional,2020,26,val
-17.618383,-0.64151394,01 Distrito Nacional,2020,27,val
-17.840355,-1.838252,01 Distrito Nacional,2020,28,val
