z1,z2,z3,z4,province,year,week,split
-1.6062984,-3.7157624,9.20438,12.882544,01 Distrito Nacional,2017,48,train
-1.7740817,-4.546709,8.582237,12.983608,01 Distrito Nacional,2017,49,train
-1.0468105,-6.4008393,7.8754716,13.79113,01 Distrito Nacional,2017,50,train
-1.4264507,-6.0597816,7.5194707,12.345798,01 Distrito Nacional,2017,51,train
-9.209007,-3.0113654,11.936098,9.552133,01 Distrito Nacional,2017,52,train
-7.8942103,-1.6010592,12.9073515,10.925798,01 Distrito Nacional,2018,1,train
-7.934851,-2.4176295,11.779894,10.7193775,01 Distrito Nacional,2018,2,train
-7.8497467,-3.8198333,10.849751,10.344447,01 Distrito Nacional,2018,3,train
-8.00842,-5.257117,9.089485,9.210422,01 Distrito Nacional,2018,4,train
-5.190068,-12.77822,0.9713053,9.003373,01 Distrito Nacional,2018,5,train
-4.165348,-11.849077,-1.9866351,7.2516,01 Distrito Nacional,2018,6,train
-5.88875,-12.74945,-2.630641,7.105322,01 Distrito Nacional,2018,7,train
-7.967958,-13.574489,-3.0532742,5.402058,01 Distrito Nacional,2018,8,train
-11.072793,-16.709515,-5.128158,5.7926564,01 Distrito Nacional,2018,9,train
-8.259812,-15.031266,-8.637104,1.5384309,01 Distrito Nacional,2018,10,train
-3.161073,-12.942505,-10.905951,-0.054558687,01 Distrito Nacional,2018,11,train
-6.849383,-12.491906,-11.983205,-2.8535736,01 Distrito Nacional,2018,12,train
-10.660862,-13.418332,-11.869334,-4.7160616,01 Distrito Nacional,2018,13,train
-4.5766726,-11.535283,-12.962075,-6.845144,01 Distrito Nacional,2018,14,train
-4.3400226,-10.093315,-12.728322,-7.9583955,01 Distrito Nacional,2018,15,train
-1.9028826,-9.936352,-13.191748,-7.4436393,01 Distrito Nacional,2018,16,train
-1.3010285,-8.54392,-12.344155,-8.744019,01 Distrito Nacional,2018,17,train
-0.17166439,-4.8040233,-15.2022,-4.999346,01 Distrito Nacional,2018,18,train
0.76179963,-4.4836926,-14.589788,-7.042529,01 Distrito Nacional,2018,19,train
0.06155777,-3.6537955,-14.087347,-7.9343257,01 Distrito Nacional,2018,20,train
0.63729566,-2.7068636,-13.788554,-8.182652,01 Distrito Nacional,2018,21,train
1.84237,-2.037549,-12.851419,-7.569462,01 Distrito Nacional,2018,22,train
1.1498164,0.46664354,-11.982238,-8.676775,01 Distrito Nacional,2018,23,train
1.3568921,1.9134545,-11.223989,-8.844911,01 Distrito Nacional,2018,24,train
3.2976663,1.8895354,-10.6495285,-7.831801,01 Distrito Nacional,2018,25,train
1.2393094,5.5543795,-9.42884,-9.378901,01 Distrito Nacional,2018,26,train
-5.369244,16.947832,2.464048,-8.116252,01 Distrito Nacional,2018,27,train
-2.4354193,15.290932,6.947657,-2.5294082,01 Distrito Nacional,2018,28,train
-1.6478852,15.413543,5.816969,-3.0681646,01 Distrito Nacional,2018,29,train
-2.2711847,16.19354,5.4564934,-4.0097647,01 Distrito Nacional,2018,30,train
-2.538178,16.20639,4.618616,-4.757571,01 Distrito Nacional,2018,31,train
-1.6469731,15.848046,7.5786285,-2.6625485,01 Distrito Nacional,2018,32,train
-1.751763,15.767488,7.719141,-2.6907296,01 Distrito Nacional,2018,33,train
-1.9491354,15.831091,7.048184,-3.4837346,01 Distrito Nacional,2018,34,train
13.226713,2.699614,-9.1149645,0.16050574,01 Distrito Nacional,2018,35,train
7.4842105,13.91924,4.363946,0.17673159,01 Distrito Nacional,2018,36,train
7.407009,13.21218,4.735523,0.759065,01 Distrito Nacional,2018,37,train
6.36139,13.1598835,6.1999793,1.2273382,01 Distrito Nacional,2018,38,train
6.9050946,12.978961,6.645315,1.9733096,01 Distrito Nacional,2018,39,train
6.92373,12.272067,8.0988035,4.9183702,01 Distrito Nacional,2018,40,train
16.617315,-1.9481269,-8.199636,4.8426337,01 Distrito Nacional,2018,41,train
7.6522775,9.414145,7.635915,5.6395135,01 Distrito Nacional,2018,42,train
8.479339,8.524283,7.9307723,6.5375533,01 Distrito Nacional,2018,43,train
8.634942,7.2313066,8.107938,7.4121666,01 Distrito Nacional,2018,44,train
6.3077297,6.9883604,9.787706,7.511508,01 Distrito Nacional,2018,45,train
3.9486272,6.973991,11.235709,7.5777955,01 Distrito Nacional,2018,46,train
7.934725,4.676221,9.852789,9.14694,01 Distrito Nacional,2018,47,train
1.7739471,-4.123926,11.284404,9.088431,01 Distrito Nacional,2018,48,train
1.3948281,-4.3584986,10.399845,9.756323,01 Distrito Nacional,2018,49,train
1.3840075,-4.974046,10.969219,10.439259,01 Distrito Nacional,2018,50,train
2.178783,-6.9459457,10.611464,11.196174,01 Distrito Nacional,2018,51,train
-9.583783,-2.8601859,12.662961,4.734491,01 Distrito Nacional,2018,52,train
-9.608645,-4.8285265,12.920385,4.654438,01 Distrito Nacional,2019,1,train
-10.04771,-7.320305,13.775466,5.769703,01 Distrito Nacional,2019,2,train
-10.0623255,-9.02833,12.788476,5.786204,01 Distrito Nacional,2019,3,train
-8.219569,-9.405181,10.945893,5.574376,01 Distrito Nacional,2019,4,train
-2.8291624,-15.150432,2.8568892,5.519471,01 Distrito Nacional,2019,5,train
-3.0193694,-16.089209,3.6472635,1.6590235,01 Distrito Nacional,2019,6,train
-2.430385,-15.558139,2.2728932,0.20196849,01 Distrito Nacional,2019,7,train
-6.368336,-16.527458,2.453075,-1.3377194,01 Distrito Nacional,2019,8,train
-7.9109106,-17.778364,2.2658086,-3.1476657,01 Distrito Nacional,2019,9,train
-6.7797394,-16.550064,-3.1256566,-1.8819078,01 Distrito Nacional,2019,10,train
-6.9287634,-16.888903,-4.962975,-3.098046,01 Distrito Nacional,2019,11,train
-5.3542004,-16.540659,-6.8169646,-5.247847,01 Distrito Nacional,2019,12,train
-0.3072949,-13.783849,-7.585521,-5.4696565,01 Distrito Nacional,2019,13,train
-4.3168364,-12.867648,-9.082224,-7.7828593,01 Distrito Nacional,2019,14,train
-1.5787272,-12.063995,-9.682089,-7.317355,01 Distrito Nacional,2019,15,train
-2.8148777,-11.328149,-9.490607,-9.745211,01 Distrito Nacional,2019,16,train
-2.3302133,-10.88023,-9.176031,-10.674489,01 Distrito Nacional,2019,17,train
-2.115138,-2.702501,-15.039502,-4.8732004,01 Distrito Nacional,2019,18,train
-2.070334,-0.020599002,-15.2708,-4.7304034,01 Distrito Nacional,2019,19,train
0.03833752,0.5308322,-13.415446,-4.6960964,01 Distrito Nacional,2019,20,train
0.9553075,1.1923926,-14.46144,-3.638794,01 Distrito Nacional,2019,21,train
2.4384794,0.69868726,-13.963253,-3.141687,01 Distrito Nacional,2019,22,train
2.244382,3.4176755,-12.385183,-3.4629629,01 Distrito Nacional,2019,23,train
1.0543606,6.6264243,-11.225303,-4.861937,01 Distrito Nacional,2019,24,train
2.1865788,7.0322995,-9.933542,-4.35719,01 Distrito Nacional,2019,25,train
2.6363075,8.354059,-9.694373,-4.580412,01 Distrito Nacional,2019,26,train
-1.605681,13.9758625,5.09715,-9.944478,01 Distrito Nacional,2019,27,train
0.32239375,12.420488,6.8831024,-8.8690195,01 Distrito Nacional,2019,28,train
0.78997236,11.769272,6.563592,-10.482233,01 Distrito Nacional,2019,29,train
1.0599258,11.47649,6.0866747,-11.208029,01 Distrito Nacional,2019,30,train
-4.0441747,11.392927,16.695465,-3.2907555,01 Distrito Nacional,2019,31,train
1.7163337,11.088127,8.1592455,-9.917762,01 Distrito Nacional,2019,32,train
1.2088464,11.268001,7.927225,-10.574179,01 Distrito Nacional,2019,33,train
1.4804728,11.221983,10.393574,-8.96193,01 Distrito Nacional,2019,34,train
8.096002,10.942726,3.8368447,-7.349364,01 Distrito Nacional,2019,35,train
9.552239,9.6190815,5.801599,-6.378038,01 Distrito Nacional,2019,36,train
9.016797,9.955025,6.04068,-5.602075,01 Distrito Nacional,2019,37,train
17.839987,-1.6289662,-6.0840006,-2.6624365,01 Distrito Nacional,2019,38,train
7.7468696,9.890842,10.189291,-0.58857155,01 Distrito Nacional,2019,39,train
7.4579053,9.630504,10.715557,1.5576155,01 Distrito Nacional,2019,40,train
9.945183,7.678362,8.410918,2.4215102,01 Distrito Nacional,2019,41,train
10.0137205,7.438697,8.909989,3.3982718,01 Distrito Nacional,2019,42,train
7.5250154,7.449291,11.179452,3.921229,01 Distrito Nacional,2019,43,train
10.769228,5.0544024,8.192089,4.9754343,01 Distrito Nacional,2019,44,train
8.968572,5.177857,9.635581,5.751124,01 Distrito Nacional,2019,45,train
7.5845037,5.2951217,11.170607,6.533218,01 Distrito Nacional,2019,46,train
11.936057,1.9194034,8.606032,7.268503,01 Distrito Nacional,2019,47,train
13.098943,0.3197708,7.0088835,7.257688,01 Distrito Nacional,2019,48,train
1.8709822,-3.7146788,13.162941,5.4779763,01 Distrito Nacional,2019,49,train
1.9636698,-4.208104,13.034091,5.7046456,01 Distrito Nacional,2019,50,train
1.7061113,-5.307253,12.0721445,6.6345997,01 Distrito Nacional,2019,51,train
-6.8450103,-3.0706103,15.186723,3.1037567,01 Distrito Nacional,2019,52,train
-7.539831,-3.8923905,13.724471,4.4794726,01 Distrito Nacional,2020,1,val
-8.562103,-4.7536674,12.087666,3.5951355,01 Distrito Nacional,2020,2,val
-8.042773,-5.991824,11.474597,4.1039915,01 Distrito Nacional,2020,3,val
-5.8338566,-6.8286467,12.626523,5.0011783,01 Distrito Nacional,2020,4,val
-1.4882765,-14.426901,2.2794507,4.2495055,01 Distrito Nacional,2020,5,val
-2.9813344,-14.084311,2.5794408,2.1729066,01 Distrito Nacional,2020,6,val
-4.316219,-14.614534,1.3946815,0.9685415,01 Distrito Nacional,2020,7,val
-2.6365027,-15.2230425,-0.56118536,0.24563634,01 Distrito Nacional,2020,8,val
-3.9442651,-16.072878,-1.7055179,-1.2025423,01 Distrito Nacional,2020,9,val
-0.998274,-15.441493,-3.1765316,-2.967402,01 Distrito Nacional,2020,10,val
-1.5831596,-16.862078,-4.0985727,-4.0689483,01 Distrito Nacional,2020,11,val
-4.333695,-16.640152,-4.7676196,-6.7502785,01 Distrito Nacional,2020,12,val
-1.5942506,-15.865568,-6.07387,-8.316167,01 Distrito Nacional,2020,13,val
-3.1722867,-15.029929,-8.064006,-10.128636,01 Distrito Nacional,2020,14,val
0.6771648,-12.439286,-7.1872334,-9.35183,01 Distrito Nacional,2020,15,val
-0.7801552,-12.201727,-6.748127,-11.541931,01 Distrito Nacional,2020,16,val
-0.17600603,-11.531889,-6.4091177,-11.483431,01 Distrito Nacional,2020,17,val
-2.1731665,0.09995623,-16.111809,-2.6554754,01 Distrito Nacional,2020,18,val
-0.79657567,0.24375764,-13.95716,-1.9364995,01 Distrito Nacional,2020,19,val
-0.61365706,1.4509404,-13.861694,-2.2409892,01 Distrito Nacional,2020,20,val
0.10202683,2.9414363,-12.996576,-1.8699011,01 Distrito Nacional,2020,21,val
0.58787245,4.164364,-12.994963,-1.6935993,01 Distrito Nacional,2020,22,val
0.38599598,7.197544,-12.021092,-3.0945003,01 Distrito Nacional,2020,23,val
0.96878314,8.37812,-11.452871,-3.0608103,01 Distrito Nacional,2020,24,val
1.5530117,9.357713,-10.66719,-2.9805136,01 Distrito Nacional,2020,25,val
0.9858569,12.50929,-9.628428,-2.7210202,01 Distrito Nacional,2020,26,val
-2.4487998,16.639183,2.485561,-0.23105824,01 Distrito Nacional,2020,27,val
-3.668373,17.331293,0.5432384,-2.0829275,01 Distrito Nacional,2020,28,val
-2.3828673,16.97244,1.386118,-1.4509166,01 Distrito Nacional,2020,29,val
-2.6860342,17.21615,1.8885995,-0.69299877,01 Distrito Nacional,2020,30,val
-2.7723305,16.042309,1.8859353,-0.596734,01 Distrito Nacional,2020,31,val
-3.0691838,17.904903,-0.514345,-0.7659601,01 Distrito Nacional,2020,32,val
-3.5116625,17.332657,-0.48026732,-0.76621825,01 Distrito Nacional,2020,33,val
-6.846594,15.977595,12.2053385,5.021999,01 Distrito Nacional,2020,34,val
3.5082226,16.636417,-2.4500253,2.202287,01 Distrito Nacional,2020,35,val
1.9825724,17.175592,0.93046135,6.755267,01 Distrito Nacional,2020,36,val
3.1935277,16.980614,0.81755537,5.112085,01 Distrito Nacional,2020,37,val
4.752092,16.245676,-0.9031547,3.7615335,01 Distrito Nacional,2020,38,val
5.516148,15.050089,-0.41940603,4.215306,01 Distrito Nacional,2020,39,val
1.6561028,15.365302,3.7198932,10.514178,01 Distrito Nacional,2020,40,val
5.7130046,12.594345,2.6315448,10.005767,01 Distrito Nacional,2020,41,val
2.521432,12.829125,6.0953717,10.457095,01 Distrito Nacional,2020,42,val
5.2732973,10.196887,5.3428426,11.090043,01 Distrito Nacional,2020,43,val
