z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
11.094561,-0.28859127,-4.0231547,-2.6877453,-4.2791605,-16.922367,-8.643779,-19.031893,01 Distrito Nacional,2016,17,train
0.56560534,0.041188933,6.553613,1.688086,-3.0122828,-14.014153,-14.5747175,-7.3851814,01 Distrito Nacional,2016,18,train
-2.043689,2.087438,8.734419,3.587997,1.1958983,-2.216811,-6.9326386,-5.2555146,01 Distrito Nacional,2016,19,train
-1.8578417,-0.40614304,6.019254,5.459283,1.8387218,-2.9367924,-5.3314986,-8.43958,01 Distrito Nacional,2016,20,train
-1.9566908,0.71525115,5.9480934,2.0871665,1.6355087,-1.9499627,-6.398529,-8.268499,01 Distrito Nacional,2016,21,train
2.6984015,1.333327,4.3346343,-10.229563,0.92858213,-4.7552495,-9.410396,-11.6174555,01 Distrito Nacional,2016,22,train
-2.9756374,-0.1277326,5.3274593,3.6011581,2.3297493,0.6402664,-4.8878865,-11.248712,01 Distrito Nacional,2016,23,train
-3.9602685,-1.165614,2.8667316,2.7544682,4.009091,0.6533155,-2.5137987,-9.197103,01 Distrito Nacional,2016,24,train
-6.074528,2.6632252,8.220527,0.7108211,2.003279,0.82594764,-6.5082073,-9.7543545,01 Distrito Nacional,2016,25,train
-6.1125507,1.777493,5.3213234,1.0305326,2.19529,1.2090747,-4.985879,-9.231268,01 Distrito Nacional,2016,26,train
-12.882973,-3.2022552,5.3872313,-1.1520942,-0.62926364,-2.09466,8.779134,-9.266709,01 Distrito Nacional,2016,27,train
-10.684506,-1.5130732,4.326027,-2.9353836,1.1407887,-1.2833568,7.660367,-5.547892,01 Distrito Nacional,2016,28,train
-11.344123,-2.6432822,4.4383826,-2.0598567,0.44605312,-1.7614195,7.9812446,-7.498837,01 Distrito Nacional,2016,29,train
-11.050178,0.37449694,6.5093303,-2.7525167,0.21724503,0.05132178,4.8536134,-5.0186934,01 Distrito Nacional,2016,30,train
-3.7560475,-1.8017963,2.0052805,-15.150699,0.13297145,-4.658368,5.502559,-10.790281,01 Distrito Nacional,2016,31,train
